food_id,platform,restaurant_name,restaurant_id,food_item,category,food_price,delivery_fee,packaging_fee,tax_amount,final_price,delivery_time_min,restaurant_rating,review_count,available_coupon,coupon_discount,cashback,free_delivery,demand_level,time_slot,day_of_week,festival_indicator,timestamp
FOOD000058,Zomato,Behrouz Biryani,RES0014,Veg Biryani,Biryani,228.83,0.0,18.56,11.44,228.83,54,3.6,11863,1,39.2,0.0,Yes,High,Dinner,Saturday,0,2026-04-25 20:46:05
FOOD000059,Swiggy,Subway,RES0048,Cheese Sandwich,Sandwich,135.51,35.39,13.04,13.15,197.09,28,4.1,8104,0,0.0,0.0,No,Medium,Dinner,Tuesday,0,2026-04-07 21:17:32
FOOD000060,Zomato,Starbucks,RES0040,Fresh Lime Soda,Beverages,100.73,0.0,17.83,5.04,100.73,35,4.6,11743,1,32.93,0.0,Yes,Medium,Dinner,Wednesday,0,2026-04-15 18:53:53
FOOD000061,Swiggy,Wendy's,RES0015,Paneer Tikka Burger,Burger,152.19,0.0,19.3,7.61,179.1,28,3.9,10339,0,0.0,0.0,Yes,Medium,Dinner,Saturday,0,2026-07-25 21:17:18
FOOD000062,Zomato,La Pino'z Pizza,RES0009,Farmhouse Pizza,Pizza,301.34,11.63,16.13,17.16,301.34,22,4.1,11924,1,96.27,0.0,No,Low,Breakfast,Thursday,0,2026-07-30 07:58:30
FOOD000063,Zomato,Third Wave Coffee,RES0038,Iced Tea,Beverages,157.71,29.71,18.1,13.23,218.75,46,4.3,1958,0,0.0,0.0,No,High,Dinner,Saturday,0,2026-07-25 20:32:03
FOOD000064,Swiggy,Wrap Street,RES0044,Veg Frankie Roll,Rolls,153.44,0.0,29.66,7.67,190.77,35,4.0,5333,0,0.0,0.0,Yes,Medium,Dinner,Tuesday,0,2026-03-24 23:47:54
FOOD000065,Zomato,Chaayos,RES0037,Cold Coffee,Beverages,240.6,22.28,19.16,16.04,298.08,48,4.4,2858,0,0.0,0.0,No,Medium,Dinner,Sunday,0,2026-05-03 20:51:39
FOOD000066,Swiggy,Minerva Coffee Shop,RES0024,Uttapam,South Indian,82.33,37.65,19.86,10.89,150.73,29,4.5,8331,0,0.0,0.0,No,Medium,Dinner,Saturday,0,2026-02-14 19:45:58
FOOD000067,Swiggy,Irani Chai Adda,RES0041,Iced Tea,Beverages,149.2,21.27,19.83,11.29,201.59,29,3.9,5391,0,0.0,0.0,No,Low,Breakfast,Monday,0,2026-03-16 08:26:26
FOOD000068,Zomato,Behrouz Biryani,RES0014,Mutton Biryani,Biryani,366.47,0.0,25.58,18.32,410.37,39,3.5,11898,0,0.0,0.0,Yes,Medium,Dinner,Tuesday,0,2026-05-26 21:40:19
FOOD000069,Swiggy,Wrap Street,RES0044,Paneer Roll,Rolls,121.95,0.0,20.74,6.1,148.79,32,3.9,5376,0,0.0,0.0,Yes,Medium,Dinner,Saturday,0,2026-05-16 19:13:26
FOOD000070,Swiggy,Wow China,RES0018,Hakka Noodles,Chinese,219.45,30.58,19.89,16.48,286.4,33,3.4,6293,0,0.0,22.46,No,Medium,Lunch,Sunday,0,2026-06-07 13:23:19
FOOD000071,Swiggy,Mainland China,RES0017,Chilli Chicken,Chinese,435.58,26.25,19.58,26.5,507.91,31,4.2,1806,0,0.0,0.0,No,Medium,Dinner,Saturday,0,2026-05-30 21:38:21
FOOD000072,Zomato,Dragon Wok,RES0020,Chilli Chicken,Chinese,218.76,38.66,27.22,17.9,302.54,38,4.0,7653,0,0.0,0.0,No,High,Lunch,Saturday,0,2026-05-16 14:17:17
FOOD000073,Zomato,Ram Ki Bandi,RES0023,Pesarattu,South Indian,117.86,22.82,20.29,10.0,153.91,39,3.8,11662,1,17.06,0.0,No,Medium,Lunch,Friday,0,2026-03-27 13:48:01
FOOD000074,Zomato,Wrap Street,RES0044,Paneer Roll,Rolls,142.03,0.0,21.24,7.1,170.37,19,4.1,5416,0,0.0,0.0,Yes,Medium,Dinner,Thursday,0,2026-07-02 19:32:11
FOOD000075,Zomato,Karachi Bakery,RES0032,Kaju Katli (250g),Desserts,239.21,28.91,25.75,17.16,311.03,38,4.4,1258,0,0.0,0.0,No,Medium,Dinner,Saturday,0,2026-04-18 21:27:40
FOOD000076,Zomato,Beijing Bites,RES0021,Chicken Manchurian,Chinese,439.5,31.48,20.11,27.64,465.4,41,3.6,4685,1,53.33,0.0,No,Medium,Lunch,Sunday,0,2026-03-08 12:09:18
FOOD000077,Zomato,Yo Momo,RES0047,Fried Chicken Momos,Momos,144.36,14.17,18.89,9.77,187.19,26,3.7,249,0,0.0,0.0,No,Low,Breakfast,Tuesday,0,2026-05-12 08:40:02
FOOD000078,Swiggy,Chicago Pizza,RES0011,Margherita Pizza,Pizza,178.28,29.69,15.7,14.26,237.93,23,4.4,6235,0,0.0,0.0,No,Low,Breakfast,Thursday,0,2026-06-25 07:26:29
FOOD000079,Zomato,Mainland China,RES0017,Chilli Chicken,Chinese,214.74,0.0,27.0,10.74,252.48,40,4.2,1817,0,0.0,15.42,Yes,Medium,Lunch,Monday,0,2026-03-23 14:32:40
FOOD000080,Zomato,Wendy's,RES0015,Chicken Zinger Burger,Burger,148.07,30.68,12.49,12.93,204.17,30,4.0,10290,0,0.0,0.0,No,Medium,Lunch,Sunday,0,2026-04-05 13:58:38
FOOD000081,Zomato,Deli 9 Bistro,RES0030,Dal Makhani,North Indian,228.91,26.22,14.55,16.17,285.85,52,4.0,10200,0,0.0,0.0,No,High,Lunch,Friday,1,2026-06-05 14:05:11
FOOD000082,Swiggy,Almond House,RES0034,Gulab Jamun (4 pc),Desserts,146.58,33.58,23.15,13.37,216.68,41,4.9,10428,0,0.0,0.0,No,High,Lunch,Saturday,0,2026-06-27 16:28:26
FOOD000083,Swiggy,Almond House,RES0034,Ice Cream Tub,Desserts,274.76,31.64,28.97,19.43,354.8,19,4.8,10467,0,0.0,0.0,No,Medium,Lunch,Saturday,0,2026-04-25 12:36:28
FOOD000084,Swiggy,Minerva Coffee Shop,RES0024,Idli Sambar,South Indian,86.2,35.23,16.93,10.65,149.01,29,4.7,8365,0,0.0,0.0,No,Medium,Lunch,Wednesday,0,2026-07-01 12:13:04
FOOD000085,Swiggy,Green Bowl,RES0052,Sprouts Salad,Salads,119.38,30.77,18.32,11.51,179.98,32,4.2,11381,0,0.0,0.0,No,Medium,Lunch,Friday,0,2026-04-10 13:35:03
FOOD000086,Swiggy,Baskin Robbins,RES0035,Ice Cream Tub,Desserts,188.17,22.9,24.73,13.53,194.22,39,4.3,1388,1,55.11,11.77,No,Medium,Dinner,Saturday,0,2026-06-27 19:45:43
FOOD000087,Zomato,Green Bowl,RES0052,Quinoa Bowl,Salads,233.73,22.58,17.65,15.75,289.71,28,4.0,11350,0,0.0,0.0,No,Medium,Lunch,Saturday,0,2026-05-09 13:18:39
FOOD000088,Swiggy,Chutneys,RES0022,Pesarattu,South Indian,82.08,0.0,18.03,4.1,82.08,43,4.2,3125,1,28.99,0.0,Yes,Medium,Dinner,Tuesday,0,2026-04-07 20:41:26
FOOD000089,Zomato,Domino's Pizza,RES0007,Margherita Pizza,Pizza,183.44,27.17,10.97,14.06,183.44,31,3.9,9840,1,57.3,0.0,No,Medium,Dinner,Sunday,0,2026-05-31 20:24:45
FOOD000090,Swiggy,Meenakshi Bhavan,RES0026,Filter Coffee,South Indian,32.05,0.0,14.98,1.6,48.63,31,4.3,180,0,0.0,0.0,Yes,Low,Breakfast,Thursday,0,2026-07-02 09:46:42
FOOD000091,Swiggy,Domino's Pizza,RES0007,Farmhouse Pizza,Pizza,301.98,0.0,15.73,15.1,301.98,35,3.8,9857,1,44.21,0.0,Yes,Medium,Lunch,Thursday,0,2026-04-30 14:03:24
FOOD000092,Swiggy,Almond House,RES0034,Kaju Katli (250g),Desserts,212.36,28.74,18.88,15.79,233.41,32,4.8,10512,1,42.36,0.0,No,Medium,Lunch,Sunday,0,2026-04-19 14:39:24
FOOD000093,Swiggy,Faasos,RES0016,Classic Veg Burger,Burger,155.84,0.0,13.16,7.79,155.84,26,4.3,7379,1,49.15,0.0,Yes,Low,Breakfast,Tuesday,0,2026-06-30 10:11:01
FOOD000094,Swiggy,Chutneys,RES0022,Filter Coffee,South Indian,58.0,29.6,17.89,8.23,113.72,31,4.1,3066,0,0.0,0.0,No,Medium,Dinner,Saturday,0,2026-07-04 22:07:37
FOOD000095,Zomato,Chicago Pizza,RES0011,Margherita Pizza,Pizza,386.52,21.69,25.66,23.23,457.1,16,4.3,6175,0,0.0,0.0,No,Low,Breakfast,Thursday,0,2026-07-30 09:45:27
FOOD000096,Swiggy,Meenakshi Bhavan,RES0026,Uttapam,South Indian,104.32,36.17,22.32,11.73,174.54,48,4.3,203,0,0.0,30.67,No,High,Dinner,Wednesday,1,2026-03-04 22:35:53
FOOD000097,Zomato,Pizza Hut,RES0008,Farmhouse Pizza,Pizza,265.71,21.83,13.89,17.21,318.64,30,4.3,3787,0,0.0,0.0,No,Medium,Dinner,Tuesday,0,2026-06-09 22:23:16
FOOD000098,Zomato,Burger King,RES0012,Cheese Burger,Burger,179.69,23.36,20.64,13.19,179.69,32,3.8,11901,1,70.62,38.05,No,Medium,Lunch,Thursday,0,2026-07-02 13:12:48
FOOD000099,Zomato,Dragon Wok,RES0020,Veg Fried Rice,Chinese,205.8,0.0,26.15,10.29,242.24,32,4.2,7605,0,0.0,0.0,Yes,Medium,Dinner,Monday,0,2026-04-20 20:00:49
FOOD000100,Swiggy,Wow Momo,RES0045,Tandoori Momos,Momos,162.05,23.91,23.66,12.41,178.91,31,4.1,9894,1,43.12,0.0,No,Low,Breakfast,Thursday,0,2026-04-02 07:27:45
FOOD000101,Zomato,Cafe Bahar,RES0004,Egg Biryani,Biryani,223.35,26.89,27.13,16.01,293.38,34,3.7,3704,0,0.0,0.0,No,Medium,Dinner,Tuesday,0,2026-05-26 22:26:05
FOOD000102,Zomato,Faasos,RES0016,Classic Veg Burger,Burger,102.29,0.0,20.32,5.11,102.29,37,4.3,7427,1,25.78,0.0,Yes,Medium,Lunch,Wednesday,0,2026-06-17 12:47:28
FOOD000103,Zomato,Chicago Pizza,RES0011,Peppy Paneer Pizza,Pizza,412.22,23.38,15.42,24.82,475.84,32,4.3,6173,0,0.0,0.0,No,Medium,Lunch,Tuesday,0,2026-05-26 13:33:46
FOOD000104,Swiggy,Almond House,RES0034,Gulab Jamun (4 pc),Desserts,70.58,0.0,13.21,3.53,87.32,25,4.8,10475,0,0.0,0.0,Yes,Medium,Dinner,Thursday,0,2026-07-16 21:44:30
FOOD000105,Zomato,La Pino'z Pizza,RES0009,Farmhouse Pizza,Pizza,1063.02,28.21,23.16,58.23,1111.74,31,4.0,11923,1,60.88,0.0,No,Medium,Dinner,Tuesday,0,2026-05-26 21:47:26
FOOD000106,Swiggy,Chutneys,RES0022,Filter Coffee,South Indian,29.27,37.23,19.98,8.16,94.64,26,4.3,3068,0,0.0,0.0,No,Medium,Dinner,Monday,0,2026-06-08 20:14:22
FOOD000107,Swiggy,Rayalaseema Ruchulu,RES0025,Filter Coffee,South Indian,76.76,34.65,22.67,10.07,144.15,32,3.7,5957,0,0.0,0.0,No,Medium,Dinner,Monday,0,2026-06-22 19:08:47
FOOD000108,Swiggy,Yo Momo,RES0047,Paneer Momos,Momos,131.22,0.0,20.73,6.56,131.22,25,3.5,286,1,41.88,0.0,Yes,Medium,Dinner,Friday,0,2026-03-20 20:27:07
FOOD000109,Zomato,Wendy's,RES0015,Double Patty Burger,Burger,161.47,25.42,14.79,12.65,173.89,37,4.0,10302,1,40.44,0.0,No,Medium,Dinner,Tuesday,0,2026-03-31 21:35:00
FOOD000110,Zomato,Green Bowl,RES0052,Caesar Salad,Salads,178.95,0.0,23.25,8.95,211.15,33,3.9,11317,0,0.0,0.0,Yes,Medium,Dinner,Saturday,0,2026-06-13 18:20:11
FOOD000111,Zomato,Wow China,RES0018,Chicken Manchurian,Chinese,568.72,0.0,29.24,28.44,593.68,40,3.4,6274,1,32.72,0.0,Yes,Medium,Dinner,Sunday,0,2026-07-19 05:19:54
FOOD000112,Zomato,Burger King,RES0012,Chicken Zinger Burger,Burger,538.17,16.77,30.64,29.93,615.51,30,3.8,11918,0,0.0,0.0,No,Medium,Breakfast,Saturday,0,2026-06-06 08:25:31
FOOD000113,Zomato,Absolute Barbecues,RES0028,Paneer Butter Masala,North Indian,203.51,30.29,14.36,15.63,263.79,31,4.3,3286,0,0.0,0.0,No,Medium,Lunch,Wednesday,0,2026-04-01 15:00:28
FOOD000114,Swiggy,Rolls Kingdom,RES0043,Veg Frankie Roll,Rolls,111.46,0.0,20.79,5.57,137.82,25,4.2,6756,0,0.0,0.0,Yes,Medium,Dinner,Saturday,0,2026-02-28 19:15:29
FOOD000115,Zomato,Dragon Wok,RES0020,Chilli Chicken,Chinese,316.4,0.0,27.87,15.82,316.4,38,4.2,7617,1,48.03,0.0,Yes,Medium,Lunch,Friday,0,2026-07-03 13:32:59
FOOD000116,Swiggy,Freshmenu Salads,RES0051,Caesar Salad,Salads,158.76,30.04,20.96,13.35,223.11,41,4.4,5906,0,0.0,0.0,No,Medium,Dinner,Friday,0,2026-07-31 20:16:29
FOOD000117,Swiggy,Wendy's,RES0015,Paneer Tikka Burger,Burger,190.1,0.0,12.18,9.51,211.79,23,4.1,10270,0,0.0,0.0,Yes,Medium,Lunch,Friday,0,2026-07-03 16:07:30
FOOD000118,Zomato,Rolls Kingdom,RES0043,Chicken Kathi Roll,Rolls,245.62,31.72,20.12,17.99,315.45,49,4.0,6794,0,0.0,0.0,No,High,Dinner,Sunday,0,2026-06-21 02:53:28
FOOD000119,Swiggy,Subway,RES0048,Chicken Sandwich,Sandwich,209.32,0.0,12.06,10.47,209.32,35,4.2,8066,1,30.97,0.0,Yes,Medium,Dinner,Tuesday,0,2026-07-14 22:40:30
FOOD000120,Zomato,Ohri's Jiva Imperia,RES0031,Dal Makhani,North Indian,513.5,25.45,29.69,30.26,556.25,29,4.6,5754,1,42.65,0.0,No,Medium,Dinner,Thursday,0,2026-03-12 19:24:42
FOOD000121,Zomato,McDonald's,RES0013,Classic Veg Burger,Burger,211.86,29.04,28.43,15.82,285.15,28,3.4,4223,0,0.0,0.0,No,Medium,Lunch,Thursday,0,2026-02-12 13:44:11
FOOD000122,Zomato,Kathi Junction,RES0042,Chicken Kathi Roll,Rolls,159.62,0.0,14.93,7.98,182.53,37,3.8,7701,0,0.0,0.0,Yes,Medium,Lunch,Friday,0,2026-05-22 12:14:00
FOOD000123,Zomato,Pista House,RES0006,Mutton Biryani,Biryani,447.34,0.0,19.45,22.37,447.34,42,4.0,9909,1,42.48,0.0,Yes,Medium,Dinner,Thursday,0,2026-04-02 21:26:22
FOOD000124,Zomato,Ohri's Jiva Imperia,RES0031,Tandoori Roti (2 pc),North Indian,54.63,17.52,25.3,5.89,103.34,34,4.6,5761,0,0.0,0.0,No,Medium,Dinner,Sunday,0,2026-03-15 22:35:30
