interaction_id,user_id,search_category,recommended_platform,chosen_platform,recommended_price,chosen_price,delivery_time,coupon_used,cashback_used,user_clicked_recommendation,booking_completed,savings_amount,user_rating,timestamp
INT000023,USER01554,Medicine,Apollo,Apollo,58.56,58.56,28.2,No,No,Yes,Yes,29.58,5,2026-06-19 23:53:10
INT000024,USER02692,Food,Swiggy,Swiggy,266.79,266.79,0.58,Yes,Yes,No,Yes,112.31,5,2026-07-11 19:46:25
INT000025,USER02356,Food,Swiggy,Swiggy,215.11,215.11,0.55,Yes,No,Yes,Yes,57.26,5,2026-05-11 20:08:57
INT000026,USER01120,Shopping,Amazon,Flipkart,8900.7,9379.83,48.0,No,No,Yes,Yes,0.0,4,2026-02-20 01:50:52
INT000027,USER00704,Shopping,Flipkart,Flipkart,564.29,564.29,24.0,No,No,Yes,Yes,8.19,5,2026-07-29 08:15:36
INT000028,USER00458,Food,Swiggy,Swiggy,171.89,171.89,0.58,No,No,Yes,Yes,14.72,4,2026-04-28 16:33:41
INT000029,USER01666,Ride,Rapido,Rapido,90.39,90.39,0.12,No,Yes,Yes,Yes,59.78,4,2026-02-13 08:35:10
INT000030,USER00010,Ride,Uber,Uber,158.9,158.9,0.07,Yes,No,Yes,Yes,11.85,5,2026-04-01 16:42:47
INT000031,USER00315,Ride,Rapido,Rapido,449.54,449.54,0.08,No,No,Yes,Yes,263.26,5,2026-03-25 18:59:29
INT000032,USER00819,Food,Swiggy,Swiggy,309.61,309.61,0.42,Yes,No,Yes,Yes,48.15,4,2026-02-11 16:26:30
INT000033,USER02077,Shopping,Amazon,Amazon,21099.67,21099.67,360.0,No,Yes,Yes,No,8735.92,2,2026-06-17 06:05:36
INT000034,USER00339,Shopping,Flipkart,Flipkart,1392.47,1392.47,72.0,No,No,Yes,Yes,553.1,5,2026-04-14 12:06:06
INT000035,USER01132,Shopping,Ajio,Ajio,1287.8,1287.8,72.0,Yes,No,No,Yes,1728.99,4,2026-04-23 09:22:50
INT000036,USER00165,Medicine,Apollo,Apollo,84.44,84.44,2.5,No,No,Yes,No,0.0,2,2026-02-20 12:14:43
INT000037,USER00386,Shopping,Flipkart,Flipkart,45909.95,45909.95,96.0,No,No,Yes,Yes,8113.66,5,2026-05-20 08:22:47
INT000038,USER00082,Medicine,Apollo,Apollo,179.19,179.19,5.0,Yes,Yes,Yes,Yes,0.0,5,2026-06-21 03:05:23
INT000039,USER00957,Food,Zomato,Zomato,435.79,435.79,0.45,Yes,No,No,Yes,57.3,4,2026-07-15 19:59:16
INT000040,USER00097,Shopping,Flipkart,Amazon,2732.19,2760.17,48.0,Yes,No,Yes,Yes,1019.79,3,2026-03-24 23:44:03
INT000041,USER00014,Shopping,Amazon,Amazon,32118.57,32118.57,96.0,No,Yes,No,Yes,20961.99,5,2026-04-19 14:13:30
INT000042,USER00029,Shopping,Flipkart,Flipkart,56251.53,56251.53,168.0,No,No,Yes,Yes,18941.32,4,2026-05-12 18:53:40
INT000043,USER02727,Food,Swiggy,Swiggy,164.39,164.39,0.8,Yes,Yes,Yes,Yes,15.02,5,2026-03-02 11:55:10
INT000044,USER00775,Shopping,Ajio,Ajio,1900.22,1900.22,120.0,Yes,No,Yes,Yes,1025.44,5,2026-06-12 14:23:58
INT000045,USER00993,Food,Zomato,Zomato,245.87,245.87,0.42,No,No,Yes,Yes,68.6,5,2026-04-22 22:54:12
INT000046,USER00480,Food,Zomato,Zomato,159.1,159.1,0.48,Yes,Yes,Yes,Yes,6.88,5,2026-07-20 16:44:38
INT000047,USER02662,Medicine,Apollo,Apollo,114.47,114.47,8.7,No,Yes,Yes,Yes,4.76,5,2026-03-08 11:13:55
INT000048,USER02425,Food,Zomato,Zomato,373.7,373.7,0.53,No,No,No,Yes,4.71,5,2026-05-02 03:06:49
INT000049,USER01168,Shopping,Ajio,Flipkart,4537.98,6278.3,24.0,No,Yes,No,Yes,0.0,3,2026-06-22 11:46:07
INT000050,USER02029,Shopping,Flipkart,Flipkart,33419.32,33419.32,168.0,Yes,No,Yes,Yes,25862.18,5,2026-03-05 11:56:19
INT000051,USER01594,Shopping,Flipkart,Flipkart,8924.75,8924.75,72.0,Yes,Yes,No,Yes,3807.95,5,2026-02-09 07:50:38
INT000052,USER01899,Ride,Uber,Uber,229.13,229.13,0.13,No,No,No,Yes,133.33,4,2026-05-10 21:34:51
INT000053,USER02339,Shopping,Amazon,Amazon,25510.14,25510.14,72.0,No,No,Yes,Yes,9339.2,5,2026-05-18 13:21:09
INT000054,USER00235,Food,Zomato,Zomato,247.34,247.34,0.6,Yes,No,Yes,Yes,16.73,5,2026-07-24 08:51:55
INT000055,USER00187,Shopping,Amazon,Amazon,34183.34,34183.34,168.0,Yes,No,No,Yes,26176.42,3,2026-02-13 05:51:10
INT000056,USER00034,Food,Zomato,Zomato,353.1,353.1,0.53,No,No,Yes,Yes,256.71,5,2026-04-30 08:02:22
INT000057,USER01786,Food,Swiggy,Swiggy,244.87,244.87,0.47,No,Yes,No,Yes,82.3,5,2026-03-02 20:02:50
INT000058,USER00786,Shopping,Ajio,Ajio,1353.95,1353.95,48.0,No,Yes,Yes,Yes,1571.71,5,2026-03-05 12:32:22
INT000059,USER02457,Food,Swiggy,Swiggy,395.5,395.5,0.53,Yes,No,Yes,Yes,60.43,4,2026-05-01 23:12:36
INT000060,USER00095,Shopping,Flipkart,Flipkart,3372.41,3372.41,72.0,No,No,Yes,Yes,135.69,5,2026-07-10 18:24:28
INT000061,USER00208,Shopping,Flipkart,Ajio,1119.63,1207.57,48.0,No,No,Yes,Yes,156.01,4,2026-03-22 12:58:05
INT000062,USER00202,Food,Swiggy,Zomato,212.34,366.59,0.8,No,No,No,Yes,0.0,4,2026-02-01 20:55:05
INT000063,USER01780,Food,Swiggy,Swiggy,240.44,240.44,0.43,Yes,No,Yes,Yes,62.18,5,2026-05-19 16:16:05
INT000064,USER01487,Ride,Rapido,Rapido,74.43,74.43,0.13,Yes,Yes,No,Yes,23.93,5,2026-03-24 23:53:16
INT000065,USER00420,Ride,Uber,Uber,295.2,295.2,0.03,Yes,No,Yes,Yes,26.72,4,2026-04-22 07:11:35
INT000066,USER01167,Shopping,Amazon,Flipkart,3508.1,4377.05,96.0,No,No,Yes,Yes,0.0,3,2026-02-24 01:33:16
INT000067,USER00007,Medicine,PharmEasy,Apollo,56.43,46.22,23.0,No,No,No,No,10.21,2,2026-03-05 15:35:47
INT000068,USER00048,Food,Zomato,Zomato,283.97,283.97,0.55,No,Yes,Yes,No,91.73,3,2026-03-10 08:04:54
INT000069,USER02184,Food,Swiggy,Swiggy,263.31,263.31,0.33,No,No,Yes,Yes,120.75,4,2026-06-04 09:50:17
INT000070,USER01234,Food,Zomato,Zomato,155.61,155.61,0.6,No,No,Yes,Yes,60.61,5,2026-05-05 22:59:43
INT000071,USER00059,Medicine,PharmEasy,PharmEasy,136.21,136.21,17.7,No,No,No,Yes,90.01,4,2026-04-08 07:17:09
INT000072,USER01057,Ride,Ola,Ola,108.94,108.94,0.02,Yes,No,Yes,Yes,104.45,5,2026-07-09 02:54:13
INT000073,USER00751,Food,Zomato,Swiggy,231.58,305.81,0.62,Yes,No,No,Yes,0.0,5,2026-07-22 20:04:22
INT000074,USER01832,Ride,Ola,Ola,254.02,254.02,0.1,No,No,Yes,Yes,36.88,5,2026-07-22 01:31:53
INT000075,USER01527,Shopping,Amazon,Amazon,16508.64,16508.64,96.0,No,No,Yes,Yes,163.93,5,2026-04-02 15:17:32
INT000076,USER00331,Shopping,Amazon,Flipkart,5095.46,4097.21,72.0,No,No,No,No,998.25,2,2026-07-20 11:03:39
INT000077,USER00934,Ride,Uber,Uber,130.03,130.03,0.02,No,Yes,Yes,Yes,6.2,4,2026-07-07 00:18:44
INT000078,USER00229,Shopping,Flipkart,Flipkart,15708.99,15708.99,48.0,No,No,No,Yes,1545.32,5,2026-02-19 08:10:53
INT000079,USER01702,Shopping,Ajio,Ajio,3165.86,3165.86,48.0,No,Yes,Yes,Yes,2808.12,4,2026-04-12 12:52:54
INT000080,USER01124,Ride,Rapido,Rapido,34.88,34.88,0.12,Yes,No,Yes,Yes,1.19,4,2026-03-04 07:26:51
INT000081,USER01068,Shopping,Amazon,Amazon,4794.55,4794.55,24.0,Yes,No,Yes,Yes,1835.28,5,2026-05-23 04:12:29
INT000082,USER02993,Shopping,Amazon,Amazon,16511.19,16511.19,24.0,Yes,No,Yes,Yes,0.0,4,2026-05-30 19:26:50
INT000083,USER02064,Shopping,Ajio,Ajio,1774.73,1774.73,72.0,No,No,No,Yes,237.0,4,2026-04-28 18:01:41
INT000084,USER02239,Food,Zomato,Zomato,111.9,111.9,0.72,Yes,No,Yes,Yes,23.84,4,2026-07-14 17:57:28
INT000085,USER00151,Food,Zomato,Swiggy,178.99,170.37,0.68,No,No,No,Yes,8.62,4,2026-03-05 17:33:54
INT000086,USER02886,Medicine,Apollo,Apollo,38.08,38.08,11.4,Yes,No,Yes,No,0.0,4,2026-05-29 02:52:29
INT000087,USER00950,Shopping,Amazon,Amazon,3010.3,3010.3,48.0,No,No,No,Yes,0.0,4,2026-06-06 03:17:39
INT000088,USER00859,Shopping,Amazon,Amazon,2985.09,2985.09,96.0,Yes,Yes,No,Yes,1048.26,5,2026-05-08 16:31:27
INT000089,USER01237,Medicine,Apollo,Apollo,35.33,35.33,5.9,No,No,Yes,Yes,0.0,4,2026-03-14 14:08:23
INT000090,USER00031,Shopping,Flipkart,Amazon,12306.11,12260.03,168.0,Yes,No,No,Yes,46.08,5,2026-04-24 20:34:53
INT000091,USER01507,Ride,Rapido,Rapido,197.66,197.66,0.15,No,Yes,Yes,Yes,241.43,5,2026-07-17 11:59:21
INT000092,USER00083,Shopping,Flipkart,Flipkart,6004.06,6004.06,72.0,Yes,Yes,Yes,No,1513.69,2,2026-04-07 18:46:29
INT000093,USER00564,Food,Zomato,Zomato,315.83,315.83,0.48,No,No,Yes,Yes,18.07,5,2026-07-15 13:06:14
INT000094,USER00102,Food,Zomato,Zomato,233.44,233.44,0.55,No,No,Yes,Yes,27.46,5,2026-04-14 13:37:09
INT000095,USER00007,Shopping,Amazon,Amazon,4840.24,4840.24,168.0,Yes,No,Yes,Yes,354.35,5,2026-04-26 02:44:51
INT000096,USER00457,Shopping,Flipkart,Flipkart,16499.63,16499.63,24.0,No,No,Yes,Yes,8937.12,5,2026-07-13 22:00:20
INT000097,USER00037,Ride,Rapido,Rapido,171.73,171.73,0.17,No,No,Yes,Yes,21.2,4,2026-04-25 05:59:03
INT000098,USER02933,Shopping,Flipkart,Flipkart,125199.47,125199.47,48.0,No,No,No,No,71510.92,1,2026-06-11 22:19:20
INT000099,USER00184,Shopping,Amazon,Amazon,35687.71,35687.71,48.0,Yes,No,No,Yes,24672.05,4,2026-05-09 01:57:33
INT000100,USER00354,Shopping,Amazon,Amazon,13830.16,13830.16,48.0,No,No,Yes,Yes,3404.31,4,2026-07-15 05:14:05
INT000101,USER00119,Ride,Uber,Uber,680.12,680.12,0.05,Yes,Yes,No,Yes,366.39,5,2026-03-12 06:36:21
INT000102,USER02260,Ride,Uber,Uber,250.43,250.43,0.02,Yes,Yes,Yes,Yes,211.43,5,2026-02-18 20:11:18
INT000103,USER00037,Shopping,Ajio,Ajio,6372.91,6372.91,336.0,No,No,Yes,Yes,1769.21,5,2026-06-11 17:16:28
INT000104,USER01847,Shopping,Amazon,Amazon,7141.19,7141.19,24.0,No,Yes,Yes,Yes,2260.94,3,2026-03-17 06:15:53
INT000105,USER02137,Shopping,Flipkart,Flipkart,2407.94,2407.94,48.0,Yes,No,Yes,Yes,322.73,5,2026-07-15 10:41:36
INT000106,USER01446,Food,Swiggy,Swiggy,96.37,96.37,0.67,Yes,No,Yes,Yes,48.27,4,2026-05-18 02:00:03
INT000107,USER00264,Food,Zomato,Zomato,201.78,201.78,0.53,No,No,No,Yes,57.73,5,2026-03-12 08:36:42
INT000108,USER01759,Food,Swiggy,Swiggy,114.76,114.76,0.73,No,No,Yes,Yes,13.06,4,2026-05-13 08:53:42
INT000109,USER00036,Shopping,Amazon,Amazon,105717.15,105717.15,24.0,No,No,No,Yes,36111.02,4,2026-02-23 05:06:46
INT000110,USER00024,Food,Swiggy,Swiggy,178.6,178.6,0.73,No,Yes,Yes,Yes,56.39,4,2026-03-19 10:43:27
INT000111,USER00004,Shopping,Flipkart,Flipkart,2554.38,2554.38,24.0,No,No,Yes,No,977.87,2,2026-04-05 23:44:13
INT000112,USER00349,Medicine,Apollo,Apollo,126.83,126.83,5.6,No,No,Yes,Yes,0.0,4,2026-05-22 02:17:41
INT000113,USER00804,Shopping,Amazon,Amazon,88891.17,88891.17,48.0,No,No,Yes,Yes,35221.75,4,2026-06-05 16:18:19
INT000114,USER02501,Ride,Rapido,Uber,85.18,88.43,0.07,No,No,No,Yes,0.0,4,2026-05-13 09:36:41
INT000115,USER01162,Medicine,Netmeds,PharmEasy,63.32,71.14,26.6,Yes,No,No,Yes,33.47,5,2026-04-16 00:10:16
INT000116,USER00136,Food,Zomato,Zomato,138.9,138.9,0.53,No,Yes,Yes,Yes,0.12,4,2026-05-17 04:14:14
INT000117,USER00010,Food,Zomato,Zomato,173.25,173.25,0.25,Yes,No,Yes,Yes,10.84,5,2026-07-28 22:15:05
INT000118,USER00494,Ride,Rapido,Rapido,292.28,292.28,0.03,No,No,No,Yes,175.53,5,2026-02-10 22:56:58
INT000119,USER01895,Shopping,Amazon,Amazon,836.17,836.17,48.0,No,No,Yes,Yes,297.39,5,2026-06-11 06:52:02
INT000120,USER00505,Shopping,Flipkart,Flipkart,23075.21,23075.21,120.0,No,No,No,Yes,158.02,5,2026-03-21 13:36:57
INT000121,USER00506,Food,Zomato,Zomato,248.51,248.51,0.57,Yes,No,Yes,Yes,96.2,5,2026-06-12 02:15:45
INT000122,USER01815,Food,Zomato,Zomato,200.11,200.11,0.85,No,No,Yes,Yes,2.59,5,2026-05-30 14:42:06
INT000123,USER02408,Shopping,Flipkart,Flipkart,1254.37,1254.37,24.0,Yes,No,Yes,Yes,694.31,5,2026-03-06 05:05:47
INT000124,USER02694,Food,Swiggy,Zomato,92.2,220.93,0.48,No,No,No,Yes,0.0,3,2026-02-20 19:34:23
INT000125,USER01905,Ride,Rapido,Rapido,128.38,128.38,0.07,No,Yes,Yes,Yes,14.72,5,2026-06-24 14:48:08
INT000126,USER01604,Shopping,Flipkart,Flipkart,91332.75,91332.75,120.0,No,Yes,No,Yes,7916.59,5,2026-03-05 15:32:03
INT000127,USER00929,Ride,Uber,Uber,189.69,189.69,0.05,No,No,Yes,Yes,40.39,5,2026-07-27 13:46:50
INT000128,USER02417,Shopping,Flipkart,Flipkart,1276.95,1276.95,24.0,No,Yes,No,Yes,1041.73,4,2026-07-10 08:24:11
INT000129,USER02854,Food,Zomato,Zomato,122.12,122.12,0.48,No,No,No,Yes,69.53,4,2026-02-11 03:25:57
INT000130,USER00785,Food,Swiggy,Swiggy,187.67,187.67,0.57,Yes,No,No,No,77.89,1,2026-04-12 01:18:01
INT000131,USER02877,Shopping,Amazon,Amazon,4620.37,4620.37,24.0,Yes,No,No,Yes,1272.31,5,2026-03-16 19:45:58
INT000132,USER00331,Shopping,Ajio,Ajio,4032.3,4032.3,96.0,No,Yes,No,Yes,4011.43,4,2026-04-14 23:45:38
INT000133,USER00462,Food,Swiggy,Swiggy,144.1,144.1,0.58,No,Yes,No,Yes,21.97,4,2026-07-11 00:57:38
INT000134,USER00982,Ride,Ola,Uber,94.05,98.32,0.13,No,No,No,Yes,0.0,3,2026-03-04 10:16:16
INT000135,USER00339,Ride,Ola,Ola,664.67,664.67,0.1,No,No,Yes,Yes,141.0,5,2026-02-10 01:08:58
INT000136,USER02795,Food,Swiggy,Swiggy,72.68,72.68,0.33,Yes,No,Yes,Yes,36.11,5,2026-07-20 22:28:54
INT000137,USER00123,Food,Swiggy,Swiggy,133.78,133.78,0.43,Yes,No,Yes,Yes,45.57,5,2026-04-18 16:15:11
INT000138,USER01431,Shopping,Flipkart,Flipkart,2154.75,2154.75,24.0,No,No,Yes,Yes,362.67,5,2026-03-18 09:10:37
INT000139,USER01029,Shopping,Flipkart,Flipkart,47792.25,47792.25,24.0,No,Yes,Yes,Yes,20185.15,4,2026-03-04 04:43:40
INT000140,USER00001,Ride,Uber,Uber,58.76,58.76,0.1,Yes,No,No,Yes,2.44,4,2026-02-22 17:52:46
INT000141,USER02049,Medicine,Apollo,Apollo,60.77,60.77,0.4,Yes,No,No,Yes,0.0,4,2026-05-26 14:08:18
INT000142,USER02914,Food,Zomato,Zomato,167.69,167.69,0.78,No,No,No,Yes,88.71,5,2026-07-16 12:37:16
INT000143,USER00785,Shopping,Amazon,Amazon,772.01,772.01,24.0,No,No,Yes,Yes,0.0,5,2026-06-12 07:02:25
INT000144,USER00410,Food,Swiggy,Swiggy,174.77,174.77,0.32,No,No,Yes,Yes,27.14,4,2026-02-11 03:05:18
INT000145,USER02871,Shopping,Amazon,Amazon,1604.55,1604.55,24.0,No,No,Yes,Yes,695.62,4,2026-05-02 09:39:58
INT000146,USER00015,Medicine,Apollo,Apollo,90.43,90.43,2.4,No,No,Yes,Yes,14.86,5,2026-03-30 09:33:12
INT000147,USER00887,Medicine,PharmEasy,PharmEasy,72.67,72.67,21.8,Yes,No,Yes,Yes,44.34,3,2026-04-16 19:50:08
INT000148,USER00497,Food,Zomato,Zomato,282.49,282.49,0.4,Yes,No,Yes,Yes,68.86,5,2026-07-04 11:38:11
INT000149,USER00121,Ride,Uber,Ola,313.91,279.06,0.07,Yes,Yes,No,Yes,34.85,4,2026-07-15 04:19:20
INT000150,USER00584,Medicine,Apollo,Apollo,65.99,65.99,5.0,No,No,No,Yes,24.95,5,2026-03-22 13:30:47
INT000151,USER00965,Ride,Ola,Ola,376.83,376.83,0.15,No,Yes,Yes,Yes,0.0,4,2026-05-23 10:32:40
INT000152,USER00156,Food,Zomato,Zomato,159.22,159.22,0.93,No,No,Yes,No,16.18,2,2026-05-16 10:00:17
INT000153,USER00125,Shopping,Amazon,Amazon,2548.42,2548.42,264.0,No,No,Yes,Yes,1622.74,5,2026-06-08 10:47:38
INT000154,USER00601,Shopping,Flipkart,Flipkart,1578.91,1578.91,24.0,Yes,No,Yes,Yes,0.0,4,2026-02-18 11:25:36
INT000155,USER00102,Food,Zomato,Zomato,173.58,173.58,0.45,Yes,No,Yes,Yes,68.27,4,2026-03-07 21:06:03
INT000156,USER00131,Medicine,Netmeds,PharmEasy,64.04,89.32,41.4,No,No,No,Yes,29.01,5,2026-07-05 23:01:05
INT000157,USER00698,Shopping,Ajio,Flipkart,2031.52,2653.55,48.0,No,Yes,No,Yes,353.61,4,2026-07-20 05:03:50
INT000158,USER01919,Shopping,Flipkart,Flipkart,8279.86,8279.86,24.0,No,No,Yes,Yes,4783.21,5,2026-02-08 19:14:19
INT000159,USER00052,Ride,Uber,Uber,293.11,293.11,0.12,Yes,No,No,Yes,50.08,4,2026-04-28 17:51:43
INT000160,USER00832,Shopping,Flipkart,Flipkart,61597.93,61597.93,72.0,No,No,No,Yes,15017.36,5,2026-04-29 00:23:54
INT000161,USER00139,Ride,Rapido,Rapido,58.79,58.79,0.05,No,No,Yes,Yes,16.11,4,2026-04-29 02:44:55
INT000162,USER01457,Food,Swiggy,Zomato,201.82,363.66,0.68,No,No,No,Yes,0.0,4,2026-05-16 14:34:46
INT000163,USER00124,Food,Swiggy,Swiggy,245.98,245.98,0.72,Yes,No,No,Yes,44.97,5,2026-06-05 06:59:04
INT000164,USER00004,Medicine,Apollo,Apollo,143.9,143.9,2.9,No,Yes,Yes,Yes,0.0,4,2026-06-27 08:14:45
INT000165,USER00099,Food,Zomato,Zomato,291.63,291.63,0.47,No,No,No,Yes,75.21,4,2026-04-11 10:49:07
INT000166,USER00009,Shopping,Amazon,Amazon,5618.95,5618.95,72.0,Yes,No,No,Yes,3474.98,4,2026-02-23 13:16:05
INT000167,USER02423,Ride,Uber,Uber,254.39,254.39,0.08,No,No,Yes,Yes,148.93,4,2026-05-24 19:23:45
INT000168,USER02238,Ride,Rapido,Rapido,100.05,100.05,0.02,No,No,No,Yes,12.94,4,2026-05-17 16:02:40
INT000169,USER01140,Shopping,Amazon,Amazon,5064.39,5064.39,96.0,No,No,Yes,Yes,564.06,4,2026-02-09 14:01:26
INT000170,USER01699,Shopping,Flipkart,Flipkart,1167.06,1167.06,72.0,Yes,No,Yes,Yes,63.31,4,2026-02-14 13:28:03
INT000171,USER02396,Food,Swiggy,Swiggy,398.12,398.12,0.4,No,No,Yes,Yes,2.66,5,2026-07-05 14:12:45
INT000172,USER02939,Food,Swiggy,Swiggy,341.75,341.75,0.6,No,No,Yes,Yes,0.0,5,2026-05-04 05:52:22
INT000173,USER00114,Medicine,PharmEasy,PharmEasy,84.68,84.68,31.0,No,No,No,Yes,53.4,5,2026-04-23 22:29:26
INT000174,USER00653,Medicine,Apollo,Apollo,136.39,136.39,23.7,Yes,No,Yes,Yes,51.61,3,2026-03-23 05:10:19
INT000175,USER01285,Ride,Ola,Ola,442.09,442.09,0.15,No,No,Yes,Yes,154.45,5,2026-04-23 14:37:21
INT000176,USER01006,Shopping,Amazon,Amazon,5778.52,5778.52,24.0,Yes,No,Yes,No,5147.93,2,2026-05-11 16:19:32
INT000177,USER00680,Shopping,Amazon,Amazon,12456.14,12456.14,24.0,No,No,Yes,Yes,13777.75,4,2026-07-11 20:15:05
INT000178,USER02179,Food,Zomato,Zomato,311.94,311.94,0.62,Yes,Yes,No,Yes,128.74,5,2026-06-05 15:23:56
INT000179,USER00339,Shopping,Amazon,Amazon,2387.12,2387.12,48.0,No,No,Yes,Yes,2188.94,5,2026-04-01 17:54:11
INT000180,USER01388,Shopping,Ajio,Flipkart,4991.75,5166.9,72.0,No,No,No,Yes,3807.11,4,2026-04-27 10:37:44
INT000181,USER00383,Food,Swiggy,Swiggy,114.04,114.04,0.53,No,No,Yes,Yes,14.99,5,2026-03-23 12:28:17
INT000182,USER00340,Shopping,Flipkart,Ajio,2374.91,1221.26,48.0,No,Yes,No,Yes,1242.32,5,2026-04-17 14:09:44
INT000183,USER00172,Food,Swiggy,Swiggy,181.77,181.77,0.58,No,Yes,No,Yes,11.62,5,2026-04-24 12:23:48
INT000184,USER02774,Shopping,Amazon,Amazon,4629.08,4629.08,48.0,No,No,Yes,Yes,1496.8,5,2026-02-05 00:00:58
INT000185,USER01349,Food,Zomato,Swiggy,206.16,229.66,0.53,Yes,Yes,No,Yes,0.0,3,2026-02-17 06:56:16
INT000186,USER00006,Shopping,Flipkart,Flipkart,489.21,489.21,24.0,No,No,Yes,Yes,0.0,4,2026-06-18 18:12:41
INT000187,USER02845,Shopping,Flipkart,Flipkart,17986.94,17986.94,48.0,No,Yes,Yes,Yes,25247.03,5,2026-04-22 11:53:32
INT000188,USER01782,Medicine,Netmeds,Netmeds,101.17,101.17,29.0,Yes,No,Yes,Yes,13.15,4,2026-05-04 16:26:17
INT000189,USER00891,Shopping,Amazon,Amazon,6661.64,6661.64,72.0,Yes,No,Yes,Yes,899.03,4,2026-02-02 01:10:25
INT000190,USER00287,Food,Swiggy,Zomato,216.75,218.3,0.5,No,No,No,Yes,0.0,4,2026-02-06 10:17:04
INT000191,USER00296,Food,Zomato,Zomato,115.43,115.43,0.47,Yes,No,No,Yes,32.86,5,2026-04-07 16:14:52
INT000192,USER00244,Medicine,PharmEasy,Apollo,76.34,62.55,5.5,No,No,Yes,Yes,22.36,5,2026-06-09 01:35:43
INT000193,USER01268,Shopping,Amazon,Amazon,2287.65,2287.65,96.0,Yes,No,Yes,Yes,471.83,4,2026-06-23 22:25:04
INT000194,USER00189,Shopping,Flipkart,Flipkart,6000.64,6000.64,72.0,Yes,No,Yes,Yes,7454.78,4,2026-05-28 12:44:41
INT000195,USER00030,Shopping,Flipkart,Amazon,1782.71,2665.77,120.0,No,No,No,Yes,0.0,5,2026-03-24 13:24:25
INT000196,USER00431,Shopping,Flipkart,Flipkart,849.51,849.51,48.0,No,No,Yes,Yes,338.06,4,2026-05-23 13:58:16
INT000197,USER00249,Medicine,Apollo,Apollo,115.64,115.64,5.9,No,No,Yes,Yes,0.0,4,2026-02-09 04:22:02
INT000198,USER00002,Food,Zomato,Zomato,163.6,163.6,0.47,No,No,Yes,Yes,37.76,5,2026-06-18 12:11:06
INT000199,USER00746,Shopping,Amazon,Amazon,6176.41,6176.41,48.0,No,No,Yes,No,3228.08,2,2026-06-11 23:36:07
