ride_id,platform,pickup_location,destination,distance_km,estimated_duration_min,vehicle_type,fare_price,base_fare,surge_multiplier,estimated_arrival_min,driver_rating,available_coupon,coupon_discount,cashback,demand_level,weather_condition,traffic_level,day_of_week,hour_of_day,festival_indicator,timestamp
RIDE000015,Uber,Somajiguda,Alwal,12.8,31,Bike,255.86,21.32,2.12,11,4.6,0,0.0,34.48,High,Sunny,Medium,Friday,4,1,2026-05-01 04:10:53
RIDE000016,Ola,Mehdipatnam,Nampally,3.44,3,Sedan,120.17,68.19,1.02,2,4.9,0,0.0,0.0,Low,Sunny,Low,Friday,15,0,2026-04-17 15:58:51
RIDE000017,Ola,Jubilee Hills,Chandanagar,13.99,38,Sedan,406.04,62.38,1.32,3,4.5,0,0.0,0.0,Medium,Sunny,Medium,Saturday,10,0,2026-04-25 10:32:57
RIDE000018,Rapido,Kukatpally,Toli Chowki,13.08,62,Auto,386.82,25.23,1.64,13,4.0,0,0.0,11.44,High,Sunny,High,Friday,17,0,2026-05-08 17:26:46
RIDE000019,Rapido,Miyapur,Himayatnagar,23.84,44,Bike,139.38,17.62,1.0,6,4.3,0,0.0,0.0,Low,Sunny,Low,Thursday,7,0,2026-04-30 07:39:43
RIDE000020,Rapido,Koti,Gandipet,23.11,62,Bike,154.52,14.73,1.0,1,4.3,0,0.0,0.0,Low,Sunny,Medium,Thursday,14,0,2026-04-02 14:08:22
RIDE000021,Rapido,Himayatnagar,Dilsukhnagar,7.44,13,Auto,226.18,27.77,1.88,11,4.5,1,13.57,0.0,High,Rain,Low,Sunday,19,0,2026-05-10 19:06:23
RIDE000022,Rapido,Kondapur,Himayatnagar,21.94,100,Bike,213.8,15.03,1.22,4,4.4,0,0.0,0.0,Medium,Cloudy,High,Thursday,19,0,2026-07-02 19:57:14
RIDE000023,Ola,Kondapur,Attapur,14.64,67,Sedan,530.65,71.46,1.4,7,4.7,0,0.0,0.0,Medium,Sunny,High,Thursday,9,0,2026-02-19 09:42:31
RIDE000024,Ola,Secunderabad,Toli Chowki,14.41,27,Auto,293.87,29.28,1.26,7,4.3,1,64.63,0.0,Medium,Sunny,Low,Saturday,17,0,2026-05-23 17:32:41
RIDE000025,Uber,Alwal,Kukatpally,15.19,44,Auto,271.93,31.26,1.04,6,4.6,0,0.0,0.0,Low,Sunny,Medium,Friday,3,0,2026-03-27 03:25:28
RIDE000026,Uber,Tolichowki,BHEL Township,20.02,56,Mini,330.83,49.71,1.0,1,4.1,0,0.0,0.0,Low,Sunny,Medium,Thursday,15,0,2026-05-14 15:16:47
RIDE000027,Rapido,Balanagar,Madhapur,7.49,34,Bike,93.01,15.15,1.59,12,5.0,0,0.0,0.0,High,Sunny,High,Monday,17,0,2026-06-01 17:07:30
RIDE000028,Ola,Abids,Tolichowki,10.15,18,Sedan,221.64,65.82,1.0,5,3.9,1,26.47,0.0,Low,Sunny,Low,Saturday,23,0,2026-06-20 23:39:08
RIDE000029,Rapido,Bowenpally,Kondapur,17.6,85,Auto,509.06,29.1,1.65,8,4.3,0,0.0,0.0,High,Sunny,High,Tuesday,17,0,2026-05-12 17:38:24
RIDE000030,Uber,Uppal,Jubilee Hills,25.28,69,Auto,583.83,31.34,1.34,8,4.5,0,0.0,0.0,Medium,Sunny,Medium,Wednesday,17,0,2026-04-08 17:23:10
RIDE000031,Uber,Attapur,Sainikpuri,26.02,124,Sedan,1150.07,73.66,2.0,9,4.4,0,0.0,0.0,High,Rain,High,Sunday,21,0,2026-05-24 21:46:27
RIDE000032,Rapido,Kukatpally,KPHB Colony,3.55,11,Auto,78.49,26.75,1.0,1,4.2,0,0.0,17.9,Low,Sunny,Medium,Tuesday,22,0,2026-04-21 22:14:24
RIDE000033,Ola,Uppal,Himayatnagar,10.98,33,Bike,155.77,16.49,1.72,9,4.5,1,13.78,0.0,High,Sunny,Medium,Sunday,17,0,2026-03-15 17:51:26
RIDE000034,Rapido,Nagole,Dilsukhnagar,4.69,22,Auto,160.0,24.97,1.73,8,4.7,1,30.85,0.0,High,Cloudy,High,Friday,18,0,2026-02-06 18:25:48
RIDE000035,Rapido,Attapur,ECIL,27.39,70,Auto,754.32,26.53,1.97,12,4.6,0,0.0,0.0,High,Rain,Medium,Thursday,10,0,2026-04-23 10:25:53
RIDE000036,Rapido,Shankarpally,Financial District,28.92,78,Auto,695.44,21.02,1.61,7,4.5,1,115.58,0.0,Medium,Rain,Medium,Tuesday,16,0,2026-03-24 16:15:47
RIDE000037,Ola,Uppal,Rajendranagar,23.38,42,Bike,147.58,16.97,1.01,4,4.3,1,31.17,0.0,Low,Sunny,Low,Tuesday,4,0,2026-02-10 04:14:34
RIDE000038,Rapido,Shamirpet,BHEL Township,33.2,63,Bike,264.22,12.29,1.39,6,4.7,1,85.78,15.36,Medium,Cloudy,Low,Sunday,10,0,2026-03-29 10:24:25
RIDE000039,Uber,Alwal,Kukatpally,15.81,42,Mini,318.43,48.81,1.12,7,5.0,0,0.0,0.0,Low,Sunny,Medium,Saturday,3,0,2026-02-28 03:06:42
RIDE000040,Ola,Rajendranagar,Miyapur,25.53,47,Auto,532.63,32.08,1.35,7,4.9,1,25.81,0.0,Medium,Sunny,Low,Monday,10,0,2026-05-18 10:32:47
RIDE000041,Uber,Madinaguda,Hitech City,8.36,36,Sedan,459.2,66.26,1.9,11,4.0,1,75.53,0.0,High,Rain,High,Wednesday,8,0,2026-06-24 08:30:07
RIDE000042,Ola,Shamirpet,ECIL,20.91,96,Bike,307.97,15.06,1.65,9,4.4,0,0.0,0.0,High,Cloudy,High,Thursday,20,0,2026-07-30 20:50:15
RIDE000043,Uber,Himayatnagar,Jubilee Hills,12.83,24,Sedan,416.2,83.54,1.3,9,4.2,0,0.0,0.0,Medium,Cloudy,Low,Sunday,18,0,2026-04-26 18:08:21
RIDE000044,Uber,Nanakramguda,Sainikpuri,35.93,167,Auto,1256.31,30.81,1.97,9,4.4,1,51.49,0.0,High,Rain,High,Monday,19,0,2026-07-06 19:30:05
RIDE000045,Uber,Gachibowli,Yousufguda,10.97,27,Mini,196.13,52.03,1.05,1,4.8,0,0.0,0.0,Low,Sunny,Medium,Thursday,7,0,2026-04-02 07:09:18
RIDE000046,Uber,Kapra,Malakpet,18.81,87,Auto,535.55,30.53,1.56,4,4.4,1,37.86,0.0,Medium,Rain,High,Tuesday,7,0,2026-03-17 07:14:15
RIDE000047,Uber,BHEL Township,Mehdipatnam,26.21,71,Mini,799.46,48.97,1.87,11,4.7,1,88.13,0.0,High,Rain,Medium,Thursday,20,0,2026-04-09 20:35:31
RIDE000048,Ola,Abids,Uppal,11.5,57,Mini,355.73,48.05,1.66,10,4.7,0,0.0,0.0,High,Cloudy,High,Wednesday,20,0,2026-04-15 20:44:20
RIDE000049,Uber,Gachibowli,Gandipet,11.31,51,Bike,153.19,21.92,1.24,3,4.7,0,0.0,0.0,Medium,Sunny,High,Thursday,8,0,2026-04-09 08:33:57
RIDE000050,Rapido,Bowenpally,Kondapur,18.92,87,Auto,409.77,22.81,1.4,6,4.5,0,0.0,0.0,Medium,Sunny,High,Sunday,5,0,2026-02-22 05:55:20
RIDE000051,Ola,Dilsukhnagar,Punjagutta,14.08,39,Mini,296.27,46.74,1.21,7,4.5,0,0.0,0.0,Medium,Sunny,Medium,Friday,21,0,2026-05-29 21:19:24
RIDE000052,Ola,Tolichowki,Panjagutta,7.58,34,Auto,237.69,29.4,1.63,11,4.4,0,0.0,22.96,High,Sunny,High,Wednesday,21,0,2026-05-20 21:42:21
RIDE000053,Uber,Himayatnagar,Panjagutta,5.47,16,Sedan,326.12,82.53,1.66,10,4.5,0,0.0,0.0,High,Cloudy,Medium,Monday,8,0,2026-03-02 08:46:56
RIDE000054,Uber,Tolichowki,Koti,10.44,50,Mini,342.06,54.48,1.6,5,4.7,0,0.0,0.0,Medium,Rain,High,Tuesday,12,0,2026-02-24 12:26:41
RIDE000055,Ola,Bowenpally,Nanakramguda,22.37,64,Sedan,595.95,81.51,1.36,4,4.7,0,0.0,47.59,Medium,Sunny,Medium,Friday,19,0,2026-07-31 19:45:13
RIDE000056,Rapido,Yousufguda,Jubilee Hills,4.37,20,Bike,77.52,13.62,1.66,3,4.1,1,17.26,0.0,Medium,Rain,High,Monday,7,0,2026-03-16 07:06:23
RIDE000057,Rapido,Balanagar,Gachibowli,12.99,61,Auto,271.77,26.72,1.21,3,4.3,0,0.0,0.0,Medium,Sunny,High,Thursday,15,0,2026-03-26 15:41:47
RIDE000058,Ola,LB Nagar,Shankarpally,64.17,176,Bike,525.91,17.18,1.2,5,5.0,1,26.16,0.0,Medium,Sunny,Medium,Tuesday,19,0,2026-05-05 19:42:48
RIDE000059,Uber,Shamshabad Airport,Tolichowki,23.83,105,Sedan,924.13,70.21,1.59,11,4.4,1,100.54,0.0,High,Cloudy,High,Tuesday,20,0,2026-05-12 20:32:27
RIDE000060,Ola,Madinaguda,Financial District,13.24,35,Bike,107.23,18.67,1.01,8,5.0,1,11.36,0.0,Low,Sunny,Medium,Sunday,23,0,2026-06-14 23:51:08
RIDE000061,Rapido,BHEL Township,Ameerpet,21.08,38,Bike,117.9,12.01,1.0,4,4.7,0,0.0,0.0,Low,Sunny,Low,Sunday,14,0,2026-05-24 14:15:17
RIDE000062,Uber,Miyapur,Manikonda,12.93,23,Auto,218.07,26.35,1.0,2,4.3,0,0.0,0.0,Low,Sunny,Low,Wednesday,14,0,2026-05-13 14:50:56
RIDE000063,Rapido,Nampally,Kukatpally,14.41,42,Auto,422.02,29.97,1.96,11,4.4,0,0.0,0.0,High,Rain,Medium,Friday,17,0,2026-04-17 17:12:48
RIDE000064,Ola,Attapur,Dilsukhnagar,14.69,69,Mini,332.95,52.99,1.22,5,4.8,0,0.0,0.0,Medium,Sunny,High,Friday,8,0,2026-02-20 08:48:58
RIDE000065,Ola,Alwal,Yousufguda,16.27,34,Auto,316.71,32.23,1.23,5,4.5,1,93.38,0.0,Medium,Sunny,Low,Saturday,21,0,2026-06-13 21:23:46
RIDE000066,Uber,Gandipet,Toli Chowki,15.41,30,Mini,326.93,56.15,1.21,8,4.6,0,0.0,0.0,Medium,Sunny,Low,Saturday,17,0,2026-04-25 17:06:40
RIDE000067,Uber,Banjara Hills,Punjagutta,3.09,12,Mini,200.82,58.17,1.97,11,4.8,0,0.0,0.0,High,Rain,High,Wednesday,20,0,2026-07-29 20:22:51
RIDE000068,Uber,Begumpet,Shamshabad Airport,33.83,63,Bike,312.12,18.25,1.3,5,4.5,0,0.0,30.39,Medium,Sunny,Low,Sunday,17,0,2026-06-21 17:54:25
RIDE000069,Uber,Charminar,Attapur,8.6,25,Bike,132.61,19.44,1.67,7,4.4,0,0.0,0.0,Medium,Rain,Medium,Sunday,15,0,2026-07-19 15:12:26
RIDE000070,Uber,Tolichowki,Panjagutta,7.34,15,Mini,163.96,58.74,1.06,2,4.8,0,0.0,0.0,Low,Sunny,Low,Wednesday,4,0,2026-02-18 04:12:42
RIDE000071,Uber,Shankarpally,Himayatnagar,50.85,235,Sedan,2536.05,78.59,1.96,12,3.7,0,0.0,0.0,High,Rain,High,Monday,8,0,2026-05-04 08:17:11
RIDE000072,Uber,Madhapur,Alwal,18.64,47,Mini,355.9,48.28,1.15,1,4.9,1,26.9,0.0,Low,Sunny,Medium,Tuesday,11,0,2026-06-09 11:11:23
RIDE000073,Ola,Punjagutta,Somajiguda,1.57,6,Sedan,194.47,70.95,1.9,10,4.5,1,28.62,0.0,High,Rain,High,Friday,8,0,2026-02-27 08:34:21
RIDE000074,Uber,Madinaguda,Koti,26.55,72,Sedan,749.17,89.87,1.29,5,4.7,0,0.0,0.0,Medium,Sunny,Medium,Monday,18,0,2026-03-09 18:09:26
RIDE000075,Ola,Panjagutta,Attapur,8.36,38,Sedan,413.64,75.78,1.72,12,4.3,0,0.0,0.0,High,Cloudy,High,Friday,17,0,2026-05-22 17:03:35
RIDE000076,Ola,Shamirpet,Nanakramguda,43.38,118,Auto,856.54,26.11,1.25,9,4.7,0,0.0,0.0,Medium,Cloudy,Medium,Tuesday,20,0,2026-04-28 20:22:30
RIDE000077,Uber,Nagole,Manikonda,24.92,67,Bike,273.6,20.48,1.3,4,4.4,1,40.94,0.0,Medium,Sunny,Medium,Tuesday,19,0,2026-03-03 19:42:50
RIDE000078,Uber,Banjara Hills,Sainikpuri,19.49,33,Sedan,464.29,88.25,1.1,1,4.2,0,0.0,0.0,Low,Sunny,Low,Friday,14,0,2026-02-27 14:20:23
RIDE000079,Uber,Nampally,Hitech City,14.21,43,Auto,423.16,32.93,1.6,13,4.5,0,0.0,0.0,High,Sunny,Medium,Sunday,21,0,2026-05-03 21:47:21
RIDE000080,Rapido,Abids,Balanagar,12.65,34,Bike,136.56,16.09,1.72,12,4.5,0,0.0,42.27,High,Sunny,Medium,Tuesday,9,0,2026-04-28 09:49:36
RIDE000081,Rapido,LB Nagar,ECIL,18.97,49,Bike,159.82,12.03,1.24,7,4.9,0,0.0,0.0,Medium,Cloudy,Medium,Saturday,20,0,2026-04-18 20:14:57
RIDE000082,Rapido,KPHB Colony,Mehdipatnam,15.71,28,Bike,166.46,14.47,1.7,9,4.3,0,0.0,30.75,Medium,Rain,Low,Sunday,7,0,2026-04-19 07:08:23
RIDE000083,Uber,Vanasthalipuram,Jubilee Hills,28.72,77,Auto,966.51,27.25,2.03,8,4.7,0,0.0,0.0,High,Sunny,Medium,Wednesday,8,1,2026-03-04 08:11:24
RIDE000084,Rapido,Madhapur,BHEL Township,12.96,35,Bike,130.26,17.63,1.36,6,4.5,0,0.0,0.0,Medium,Sunny,Medium,Wednesday,8,0,2026-07-15 08:23:55
RIDE000085,Uber,Malakpet,Rajendranagar,16.37,46,Bike,260.55,18.66,1.99,6,4.8,0,0.0,0.0,High,Rain,Medium,Sunday,19,0,2026-05-24 19:17:25
RIDE000086,Ola,KPHB Colony,Moosapet,7.13,10,Bike,66.98,16.51,1.13,5,4.7,0,0.0,17.11,Low,Cloudy,Low,Sunday,11,0,2026-05-03 11:21:38
RIDE000087,Uber,Nanakramguda,Charminar,19.66,90,Auto,637.06,32.46,1.72,11,4.4,1,35.38,57.72,High,Sunny,High,Monday,18,0,2026-03-30 18:33:36
RIDE000088,Rapido,Ameerpet,Shamirpet,28.7,74,Auto,874.16,21.41,1.97,9,4.4,1,33.29,0.0,High,Rain,Medium,Tuesday,18,0,2026-07-07 18:06:38
RIDE000089,Uber,Gachibowli,Begumpet,17.49,47,Sedan,637.81,76.18,1.64,6,4.3,1,26.89,0.0,Medium,Rain,Medium,Friday,7,0,2026-04-10 07:04:03
RIDE000090,Ola,Panjagutta,BHEL Township,24.05,64,Mini,585.45,44.35,1.66,15,4.3,1,86.29,0.0,High,Cloudy,Medium,Tuesday,20,0,2026-06-30 20:41:19
RIDE000091,Ola,Financial District,Kukatpally,15.94,44,Auto,350.21,29.99,1.29,3,4.6,0,0.0,0.0,Medium,Cloudy,Medium,Friday,18,0,2026-05-22 18:04:45
RIDE000092,Ola,Abids,Madinaguda,23.7,41,Mini,340.79,46.48,1.0,2,4.5,1,112.84,0.0,Low,Sunny,Low,Friday,6,0,2026-03-13 06:24:30
RIDE000093,Ola,Kapra,Dilsukhnagar,18.06,45,Mini,411.11,43.76,1.61,11,4.8,0,0.0,0.0,High,Cloudy,Medium,Sunday,17,0,2026-03-08 17:19:23
RIDE000094,Uber,Rajendranagar,Himayatnagar,16.15,76,Auto,578.72,28.21,1.9,10,4.6,0,0.0,0.0,High,Rain,High,Saturday,20,0,2026-03-14 20:24:55
RIDE000095,Uber,Shamirpet,Gandipet,45.23,122,Bike,382.88,16.93,1.33,5,4.5,0,0.0,0.0,Medium,Sunny,Medium,Saturday,10,0,2026-04-18 10:19:31
RIDE000096,Ola,Madhapur,Nanakramguda,9.19,26,Auto,323.56,31.6,1.89,8,4.0,0,0.0,0.0,High,Rain,Medium,Wednesday,17,0,2026-04-22 17:13:26
RIDE000097,Uber,Koti,Manikonda,14.99,42,Bike,123.45,18.33,1.0,2,4.4,0,0.0,0.0,Low,Cloudy,Medium,Monday,11,0,2026-06-15 11:13:44
RIDE000098,Rapido,Jubilee Hills,Bowenpally,10.97,50,Bike,149.55,17.82,1.73,4,4.9,0,0.0,0.0,High,Sunny,High,Wednesday,8,0,2026-02-04 08:08:49
RIDE000099,Uber,Sainikpuri,Nampally,19.67,39,Mini,576.03,48.29,1.88,13,4.2,0,0.0,0.0,High,Rain,Low,Saturday,17,0,2026-05-02 17:09:39
RIDE000100,Ola,Begumpet,Madinaguda,17.51,31,Auto,335.75,29.75,1.21,2,4.4,0,0.0,0.0,Medium,Sunny,Low,Saturday,20,0,2026-07-04 20:47:14
RIDE000101,Uber,Charminar,Panjagutta,9.63,26,Mini,189.15,51.22,1.04,3,5.0,0,0.0,0.0,Low,Sunny,Medium,Thursday,13,0,2026-06-25 13:57:15
RIDE000102,Uber,Abids,Nanakramguda,21.76,41,Auto,339.48,29.21,1.02,4,4.6,0,0.0,0.0,Low,Sunny,Low,Thursday,7,0,2026-04-30 07:24:00
RIDE000103,Rapido,Moosapet,Balanagar,1.75,3,Auto,64.92,28.43,1.29,10,4.7,1,10.66,0.0,Medium,Sunny,Low,Saturday,10,0,2026-06-20 10:47:30
RIDE000104,Uber,Shamshabad Airport,Hitech City,32.57,58,Mini,578.8,57.83,1.26,9,4.4,0,0.0,26.55,Medium,Sunny,Low,Sunday,9,0,2026-02-08 09:47:30
RIDE000105,Ola,Mehdipatnam,LB Nagar,18.67,87,Bike,235.79,19.5,1.59,8,4.9,1,64.19,0.0,High,Sunny,High,Wednesday,8,0,2026-06-10 08:40:27
RIDE000106,Ola,Nampally,Shamshabad Airport,27.11,74,Bike,269.42,15.07,1.32,5,4.2,1,33.09,20.36,Medium,Sunny,Medium,Monday,20,0,2026-04-06 20:54:56
RIDE000107,Uber,Balanagar,Abids,11.27,52,Auto,443.01,28.15,1.96,11,4.6,0,0.0,0.0,High,Rain,High,Thursday,8,0,2026-07-16 08:22:25
RIDE000108,Rapido,Kukatpally,Toli Chowki,13.16,60,Bike,157.15,17.14,1.67,11,4.7,0,0.0,0.0,High,Sunny,High,Tuesday,20,0,2026-02-17 20:45:18
RIDE000109,Uber,Gandipet,Panjagutta,20.44,39,Sedan,440.63,79.14,1.02,3,5.0,0,0.0,0.0,Low,Sunny,Low,Saturday,12,0,2026-07-04 12:25:02
RIDE000110,Ola,Banjara Hills,KPHB Colony,13.86,63,Mini,402.56,48.97,1.56,10,4.5,0,0.0,56.54,High,Sunny,High,Sunday,20,0,2026-04-19 20:09:08
RIDE000111,Ola,Koti,Abids,1.0,6,Auto,75.2,25.88,1.73,9,4.4,0,0.0,0.0,High,Sunny,High,Thursday,21,0,2026-03-19 21:11:15
RIDE000112,Rapido,Uppal,Manikonda,24.31,63,Auto,423.13,27.49,1.14,2,5.0,0,0.0,0.0,Low,Sunny,Medium,Wednesday,12,0,2026-04-22 12:18:11
RIDE000113,Ola,Jubilee Hills,Balanagar,7.23,14,Auto,146.82,34.66,1.07,4,4.7,0,0.0,0.0,Low,Sunny,Low,Sunday,6,0,2026-04-26 06:22:32
RIDE000114,Uber,Gachibowli,ECIL,34.49,93,Auto,936.11,33.42,1.65,6,4.7,0,0.0,0.0,Medium,Rain,Medium,Friday,23,0,2026-03-20 23:48:27
RIDE000115,Ola,Malakpet,Miyapur,28.7,52,Auto,441.93,28.08,1.07,1,4.3,1,90.24,0.0,Low,Sunny,Low,Wednesday,12,0,2026-02-04 12:11:53
RIDE000116,Ola,Kukatpally,Financial District,15.17,68,Sedan,679.37,64.52,1.93,11,4.5,0,0.0,0.0,High,Rain,High,Tuesday,19,0,2026-02-17 19:12:28
RIDE000117,Uber,LB Nagar,Dilsukhnagar,5.84,16,Auto,129.06,26.39,1.12,4,5.0,0,0.0,14.37,Low,Sunny,Medium,Thursday,3,0,2026-07-23 03:04:01
RIDE000118,Uber,Hitech City,Koti,17.49,31,Bike,131.63,18.84,1.0,7,4.6,0,0.0,0.0,Low,Sunny,Low,Wednesday,6,0,2026-07-29 06:31:43
RIDE000119,Rapido,Ameerpet,Himayatnagar,7.31,22,Bike,66.64,13.51,1.26,2,5.0,1,19.24,0.0,Medium,Sunny,Medium,Wednesday,20,0,2026-07-22 20:03:17
RIDE000120,Uber,Kondapur,Dilsukhnagar,31.23,144,Bike,602.6,15.08,2.02,10,4.4,1,71.08,0.0,High,Sunny,High,Friday,9,1,2026-06-05 09:26:09
RIDE000121,Rapido,Jubilee Hills,Uppal,22.44,103,Auto,568.19,24.87,1.66,9,4.3,0,0.0,15.89,High,Cloudy,High,Saturday,19,0,2026-06-06 19:45:28
RIDE000122,Rapido,Ameerpet,Koti,9.98,43,Auto,299.48,26.97,1.61,11,4.9,0,0.0,0.0,High,Cloudy,High,Tuesday,19,0,2026-05-12 19:50:05
RIDE000123,Ola,Alwal,BHEL Township,25.95,120,Mini,753.49,49.37,1.71,7,4.6,0,0.0,0.0,High,Cloudy,High,Monday,8,0,2026-02-02 08:12:41
RIDE000124,Ola,Miyapur,Hitech City,9.05,37,Bike,131.58,17.6,1.69,10,4.9,0,0.0,0.0,High,Sunny,High,Monday,18,0,2026-02-09 18:19:05
RIDE000125,Uber,Gachibowli,Chandanagar,8.54,17,Bike,82.37,21.46,1.0,1,4.8,0,0.0,0.0,Low,Sunny,Low,Wednesday,15,0,2026-07-29 15:14:56
RIDE000126,Rapido,Koti,Chandanagar,24.62,116,Bike,200.91,12.72,1.28,3,4.5,1,43.09,0.0,Medium,Sunny,High,Saturday,3,0,2026-04-11 03:37:40
RIDE000127,Ola,Madinaguda,Dilsukhnagar,34.31,159,Auto,1285.05,25.16,2.09,10,4.5,1,66.07,0.0,High,Cloudy,High,Tuesday,8,1,2026-04-14 08:33:48
RIDE000128,Uber,Panjagutta,Rajendranagar,18.22,39,Bike,150.16,21.65,1.08,4,4.6,0,0.0,38.97,Low,Sunny,Low,Saturday,13,0,2026-02-28 13:31:20
RIDE000129,Ola,Tolichowki,Malakpet,12.52,58,Mini,415.8,48.18,1.72,14,4.5,0,0.0,15.7,High,Sunny,High,Saturday,18,0,2026-02-21 18:44:14
RIDE000130,Uber,Miyapur,Banjara Hills,15.26,40,Bike,141.15,15.62,1.13,4,4.7,0,0.0,0.0,Low,Cloudy,Medium,Sunday,0,0,2026-02-08 00:36:26
RIDE000131,Ola,Vanasthalipuram,KPHB Colony,33.42,153,Bike,506.72,15.99,1.65,11,4.6,0,0.0,0.0,High,Sunny,High,Thursday,19,0,2026-04-30 19:01:06
RIDE000132,Ola,Charminar,ECIL,21.62,40,Mini,379.63,46.43,1.3,9,4.3,0,0.0,0.0,Medium,Sunny,Low,Monday,21,0,2026-06-01 21:54:34
RIDE000133,Rapido,Abids,Sainikpuri,19.14,85,Bike,236.64,17.56,1.64,12,4.4,0,0.0,0.0,High,Sunny,High,Tuesday,17,0,2026-03-24 17:51:15
RIDE000134,Ola,Vanasthalipuram,Tolichowki,21.19,39,Mini,306.41,48.73,1.04,1,5.0,0,0.0,0.0,Low,Sunny,Low,Thursday,12,0,2026-06-25 12:33:14
RIDE000135,Uber,Sainikpuri,Nagole,17.79,33,Mini,555.35,58.12,2.05,9,4.5,0,0.0,0.0,High,Rain,Low,Sunday,20,0,2026-03-22 20:09:05
RIDE000136,Rapido,Gachibowli,Nampally,20.95,37,Auto,305.0,21.39,1.0,3,4.4,1,63.84,0.0,Low,Cloudy,Low,Monday,16,0,2026-03-16 16:01:23
RIDE000137,Uber,Uppal,Kapra,9.64,46,Auto,239.42,27.72,1.27,7,5.0,0,0.0,51.44,Medium,Sunny,High,Wednesday,20,0,2026-03-18 20:21:40
RIDE000138,Uber,Banjara Hills,Nagole,17.03,29,Auto,349.89,33.82,1.22,8,4.7,0,0.0,0.0,Medium,Sunny,Low,Tuesday,8,0,2026-06-23 08:12:45
RIDE000139,Uber,Alwal,Yousufguda,16.77,77,Auto,490.29,32.54,1.56,10,4.6,1,22.86,0.0,High,Sunny,High,Friday,21,0,2026-05-22 21:06:35
RIDE000140,Uber,Himayatnagar,KPHB Colony,19.46,51,Sedan,635.06,86.16,1.4,5,4.3,0,0.0,0.0,Medium,Cloudy,Medium,Wednesday,17,0,2026-04-22 17:13:21
RIDE000141,Uber,LB Nagar,Uppal,10.16,17,Mini,172.81,45.42,1.0,5,4.2,0,0.0,0.0,Low,Sunny,Low,Friday,14,0,2026-05-22 14:03:27
RIDE000142,Rapido,Moosapet,Toli Chowki,9.73,47,Auto,235.66,28.26,1.29,6,4.4,0,0.0,48.28,Medium,Cloudy,High,Wednesday,18,0,2026-04-01 18:36:03
RIDE000143,Uber,Mehdipatnam,Kompally,22.21,41,Bike,181.99,20.31,1.01,5,4.7,0,0.0,0.0,Low,Sunny,Low,Sunday,13,0,2026-05-10 13:26:45
