product_id,platform,product_name,brand,category,subcategory,original_price,selling_price,discount_percentage,cashback,coupon_discount,final_price,delivery_days,seller_name,seller_rating,product_rating,review_count,stock_status,exchange_available,emi_available,day_of_week,festival_indicator,timestamp
ITEM000020,Flipkart,Titan Watches 2.0 910,Titan,Fashion,Watches,17871.41,12397.4,30.63,0.0,1217.56,11179.84,4,Style Hub Sellers,4.3,4.0,22738,In Stock,No,Yes,Saturday,0,2026-06-27 15:21:36
ITEM000021,Amazon,Dell Laptop Premium 605,Dell,Electronics,Laptop,73289.87,61460.88,16.14,0.0,172.14,61288.74,4,Style Hub Sellers,3.6,3.7,42426,In Stock,No,No,Sunday,0,2026-05-10 13:34:58
ITEM000022,Amazon,L'Oreal Haircare Edition 176,L'Oreal,Beauty,Haircare,1033.18,945.36,8.5,0.0,111.61,833.75,4,Style Hub Sellers,4.8,3.8,51169,In Stock,No,No,Thursday,0,2026-02-19 10:18:47
ITEM000023,Ajio,Sugar Makeup 2.0 349,Sugar,Beauty,Makeup,718.81,499.57,30.5,0.0,0.0,499.57,1,Flipkart Wholesale,4.5,4.5,17277,In Stock,No,No,Monday,0,2026-05-11 19:03:48
ITEM000024,Ajio,W Kurtas Everyday 11,W,Fashion,Kurtas,1037.68,761.66,26.6,0.0,0.0,761.66,1,TechZone India,4.5,3.9,11356,In Stock,No,No,Friday,0,2026-05-08 15:37:20
ITEM000025,Flipkart,Fire-Boltt Smartwatch Essential 142,Fire-Boltt,Electronics,Smartwatch,43375.28,29365.06,32.3,0.0,210.78,29154.28,1,Urban Trade Co,4.3,4.2,30861,In Stock,No,No,Monday,0,2026-04-27 19:25:33
ITEM000026,Flipkart,Wakefit Home Decor Prime 186,Wakefit,Home & Kitchen,Home Decor,7925.64,5248.36,33.78,0.0,426.7,4821.66,2,RetailNet,3.5,4.4,24535,In Stock,No,No,Friday,0,2026-03-27 18:58:26
ITEM000027,Ajio,Adidas Shoes Pro 814,Adidas,Fashion,Shoes,5272.19,4641.11,11.97,0.0,0.0,4641.11,3,RetailNet,4.2,3.5,1596,In Stock,No,Yes,Tuesday,0,2026-06-09 09:05:09
ITEM000028,Amazon,Realme Mobile Signature 430,Realme,Electronics,Mobile,126634.64,75385.6,40.47,0.0,840.83,74544.77,15,Ajio Retail,4.2,4.2,6370,Out of Stock,Yes,Yes,Friday,1,2026-05-01 20:22:02
ITEM000029,Amazon,Maybelline Makeup Essential 605,Maybelline,Beauty,Makeup,2070.22,1637.75,20.89,0.0,0.0,1637.75,3,Flipkart Wholesale,4.4,4.4,40211,In Stock,No,Yes,Monday,0,2026-03-02 12:40:35
ITEM000030,Amazon,Bata Shoes Everyday 262,Bata,Fashion,Shoes,9154.4,8364.38,8.63,0.0,552.55,7811.83,2,OmniTech Sellers,4.4,4.1,17557,In Stock,No,No,Sunday,0,2026-04-12 00:12:26
ITEM000031,Amazon,Marshall Speaker Signature 565,Marshall,Electronics,Speaker,24167.44,17279.72,28.5,0.0,0.0,17279.72,2,HomeEssentials Store,4.2,4.4,30087,In Stock,No,Yes,Thursday,0,2026-07-16 11:24:09
ITEM000032,Flipkart,Prestige Cookware Everyday 668,Prestige,Home & Kitchen,Cookware,2397.72,2122.7,11.47,0.0,349.76,1772.94,2,TrueValue Retail,4.6,4.2,42607,In Stock,No,Yes,Sunday,0,2026-02-22 22:52:16
ITEM000033,Amazon,Wakefit Furniture 2.0 44,Wakefit,Home & Kitchen,Furniture,55545.25,42242.16,23.95,0.0,0.0,42242.16,2,Cloudtail India,4.4,3.8,5753,In Stock,No,Yes,Saturday,0,2026-07-04 02:27:08
ITEM000034,Flipkart,Xiaomi Tablet Prime 669,Xiaomi,Electronics,Tablet,18470.87,5838.64,68.39,0.0,0.0,5838.64,5,TrueValue Retail,4.1,4.4,26678,In Stock,Yes,Yes,Sunday,1,2026-07-12 03:59:47
ITEM000035,Ajio,Reebok Shoes Edition 324,Reebok,Fashion,Shoes,3635.28,2369.48,34.82,0.0,262.51,2106.97,1,PrimeMart Retail,4.3,4.2,37931,In Stock,No,No,Saturday,0,2026-02-21 04:44:17
ITEM000036,Flipkart,Mi Television Ultra 759,Mi,Electronics,Television,41450.95,33073.71,20.21,338.56,0.0,32735.15,4,Cloudtail India,4.4,4.2,30180,In Stock,Yes,No,Monday,0,2026-05-11 19:32:59
ITEM000037,Ajio,Lakme Makeup Max 533,Lakme,Beauty,Makeup,647.72,482.42,25.52,0.0,0.0,482.42,3,Flipkart Wholesale,3.7,4.0,38030,In Stock,No,No,Monday,0,2026-03-30 15:45:22
ITEM000038,Ajio,Fabindia Kurtas Premium 336,Fabindia,Fashion,Kurtas,2526.58,1909.34,24.43,0.0,0.0,1909.34,3,HomeEssentials Store,4.3,3.1,3481,In Stock,No,No,Monday,0,2026-05-04 18:11:49
ITEM000039,Amazon,Penguin Non-Fiction Series 839,Penguin,Books,Non-Fiction,813.9,539.53,33.71,19.94,0.0,519.59,3,TechZone India,3.9,4.2,7620,In Stock,No,No,Tuesday,0,2026-03-10 01:59:30
ITEM000040,Amazon,Wildcraft Jackets Pro 647,Wildcraft,Fashion,Jackets,7317.53,6356.01,13.14,0.0,106.68,6249.33,13,OmniTech Sellers,3.9,4.2,2615,Out of Stock,No,No,Saturday,0,2026-03-14 04:28:53
ITEM000041,Ajio,Mysore Silk Sarees Prime 789,Mysore Silk,Fashion,Sarees,13184.25,12055.68,8.56,0.0,0.0,12055.68,1,OmniTech Sellers,5.0,3.7,46403,In Stock,No,Yes,Friday,0,2026-07-24 15:04:49
ITEM000042,Flipkart,LG Television Classic 4,LG,Electronics,Television,85814.57,65922.75,23.18,687.88,0.0,65234.87,2,PrimeMart Retail,4.4,4.4,36363,In Stock,Yes,Yes,Wednesday,0,2026-05-27 04:48:37
ITEM000043,Flipkart,Penguin Non-Fiction Edition 876,Penguin,Books,Non-Fiction,276.85,238.62,13.81,0.0,0.0,238.62,5,PrimeMart Retail,4.2,4.2,52602,In Stock,No,No,Sunday,0,2026-02-15 07:30:54
ITEM000044,Amazon,Wakefit Home Decor Max 233,Wakefit,Home & Kitchen,Home Decor,6055.75,4041.61,33.26,0.0,0.0,4041.61,2,OmniTech Sellers,4.2,3.9,38743,In Stock,No,Yes,Thursday,0,2026-06-04 02:03:36
ITEM000045,Amazon,Ikea Furniture Essential 753,Ikea,Home & Kitchen,Furniture,42911.96,34406.81,19.82,0.0,0.0,34406.81,16,WS Retail,4.6,4.3,16719,Out of Stock,No,Yes,Tuesday,0,2026-05-12 18:00:56
ITEM000046,Ajio,Nike Shoes Plus 656,Nike,Fashion,Shoes,1398.08,1293.36,7.49,0.0,0.0,1293.36,1,HomeEssentials Store,3.7,5.0,12388,In Stock,No,No,Thursday,0,2026-04-02 14:58:36
ITEM000047,Flipkart,Wakefit Home Decor Max 233,Wakefit,Home & Kitchen,Home Decor,8327.74,7458.32,10.44,0.0,0.0,7458.32,2,RetailNet,4.3,4.3,38752,In Stock,No,Yes,Monday,0,2026-06-15 21:27:34
ITEM000048,Flipkart,Apple Laptop 2.0 626,Apple,Electronics,Laptop,176918.38,133944.91,24.29,0.0,0.0,133944.91,1,WS Retail,3.6,4.0,16320,In Stock,No,Yes,Wednesday,0,2026-05-20 16:49:54
ITEM000049,Amazon,Rupa Fiction Edition 130,Rupa,Books,Fiction,780.2,691.26,11.4,0.0,77.88,613.38,3,OmniTech Sellers,4.1,3.3,34239,In Stock,No,No,Wednesday,0,2026-04-15 04:30:12
ITEM000050,Amazon,Prestige Cookware Lite 803,Prestige,Home & Kitchen,Cookware,2696.67,2544.04,5.66,128.46,132.62,2282.96,1,Ajio Retail,5.0,4.3,54058,In Stock,No,Yes,Sunday,0,2026-04-26 03:46:48
ITEM000051,Ajio,Dove Haircare Signature 772,Dove,Beauty,Haircare,805.61,531.3,34.05,0.0,0.0,531.3,11,TechZone India,5.0,4.3,52771,Out of Stock,No,No,Saturday,0,2026-04-18 02:37:10
ITEM000052,Amazon,Philips Kitchen Appliances 2.0 235,Philips,Home & Kitchen,Kitchen Appliances,18642.95,12425.53,33.35,0.0,0.0,12425.53,3,Cloudtail India,3.6,4.1,7668,In Stock,No,No,Thursday,0,2026-02-26 02:22:25
ITEM000053,Ajio,Dove Haircare Signature 772,Dove,Beauty,Haircare,2193.3,1712.31,21.93,0.0,0.0,1712.31,2,Urban Trade Co,4.3,4.4,52762,In Stock,No,Yes,Wednesday,0,2026-07-29 10:28:37
ITEM000054,Ajio,Nykaa Makeup Prime 958,Nykaa,Beauty,Makeup,489.22,400.28,18.18,0.0,0.0,400.28,2,HomeEssentials Store,4.7,4.2,6820,In Stock,No,No,Monday,0,2026-04-27 21:38:52
ITEM000055,Amazon,Roadster Jackets 2.0 500,Roadster,Fashion,Jackets,4955.01,3427.88,30.82,0.0,0.0,3427.88,1,OmniTech Sellers,3.7,4.2,46147,In Stock,No,Yes,Sunday,0,2026-05-24 15:57:16
ITEM000056,Flipkart,Hawkins Cookware Essential 129,Hawkins,Home & Kitchen,Cookware,5374.93,4229.53,21.31,0.0,469.79,3759.74,2,TechZone India,4.1,3.9,3415,In Stock,No,Yes,Saturday,0,2026-03-07 16:39:34
ITEM000057,Flipkart,Dell Laptop Neo 977,Dell,Electronics,Laptop,148092.31,119377.21,19.39,0.0,0.0,119377.21,1,RetailNet,4.4,3.8,37786,In Stock,Yes,No,Monday,0,2026-06-29 12:32:52
ITEM000058,Flipkart,Decathlon Sportswear Lite 797,Decathlon,Sports,Sportswear,496.28,360.7,27.32,0.0,45.16,315.54,1,RetailNet,3.1,3.8,20975,In Stock,No,No,Wednesday,0,2026-05-06 23:54:13
ITEM000059,Amazon,Mysore Silk Sarees Neo 905,Mysore Silk,Fashion,Sarees,11039.77,9280.03,15.94,0.0,0.0,9280.03,4,Ajio Retail,4.4,4.0,570,In Stock,No,No,Sunday,0,2026-06-28 08:53:10
ITEM000060,Amazon,Acer Laptop Series 699,Acer,Electronics,Laptop,43768.36,28624.51,34.6,0.0,75.53,28548.98,17,Cloudtail India,4.2,4.3,10298,Out of Stock,No,No,Sunday,0,2026-07-05 12:27:54
ITEM000061,Amazon,Reebok Shoes Edition 324,Reebok,Fashion,Shoes,10816.58,8208.7,24.11,0.0,0.0,8208.7,4,Style Hub Sellers,4.6,4.2,37954,In Stock,No,Yes,Saturday,0,2026-02-14 11:39:58
ITEM000062,Ajio,Dove Haircare Everyday 75,Dove,Beauty,Haircare,2209.19,1898.58,14.06,0.0,0.0,1898.58,2,Appario Retail,3.5,4.1,24341,In Stock,No,Yes,Thursday,0,2026-05-07 04:49:54
ITEM000063,Flipkart,Flying Machine Jeans Essential 209,Flying Machine,Fashion,Jeans,2886.71,2451.68,15.07,0.0,0.0,2451.68,2,Appario Retail,4.5,4.3,2255,In Stock,No,Yes,Thursday,0,2026-06-18 02:19:40
ITEM000064,Ajio,Allen Solly T-Shirts Everyday 338,Allen Solly,Fashion,T-Shirts,1786.6,1165.04,34.79,0.0,0.0,1165.04,2,RetailNet,4.3,4.1,11887,In Stock,No,No,Wednesday,0,2026-04-01 20:43:58
ITEM000065,Ajio,Only Dresses Max 340,Only,Fashion,Dresses,3571.78,2609.19,26.95,0.0,0.0,2609.19,3,TechZone India,4.3,4.1,19654,In Stock,No,No,Tuesday,0,2026-03-31 22:08:58
ITEM000066,Amazon,Ikea Furniture Everyday 594,Ikea,Home & Kitchen,Furniture,26402.97,21972.55,16.78,0.0,1421.82,20550.73,2,Ajio Retail,4.2,4.5,53645,In Stock,No,Yes,Sunday,0,2026-07-26 12:37:02
ITEM000067,Flipkart,Rupa Fiction Edition 130,Rupa,Books,Fiction,949.61,752.38,20.77,0.0,134.67,617.71,4,Ajio Retail,4.2,3.5,34353,In Stock,No,No,Sunday,0,2026-05-31 13:41:41
ITEM000068,Amazon,LG Television Classic 4,LG,Electronics,Television,53643.88,51433.75,4.12,0.0,0.0,51433.75,2,Flipkart Wholesale,3.8,4.4,36355,In Stock,Yes,Yes,Monday,0,2026-03-02 06:25:36
ITEM000069,Flipkart,Urban Ladder Furniture Everyday 796,Urban Ladder,Home & Kitchen,Furniture,54841.39,48035.57,12.41,0.0,0.0,48035.57,13,Cloudtail India,3.5,4.2,32700,Out of Stock,No,Yes,Saturday,0,2026-05-23 16:46:22
ITEM000070,Amazon,OnePlus Television Prime 781,OnePlus,Electronics,Television,35892.44,27145.45,24.37,0.0,0.0,27145.45,2,HomeEssentials Store,4.1,4.6,7610,In Stock,Yes,No,Thursday,0,2026-04-16 20:26:12
ITEM000071,Ajio,Mysore Silk Sarees Prime 881,Mysore Silk,Fashion,Sarees,1651.84,1267.13,23.29,0.0,89.33,1177.8,1,Cloudtail India,3.9,4.3,34073,In Stock,No,No,Wednesday,0,2026-07-01 00:32:09
ITEM000072,Amazon,Tresemme Haircare Series 790,Tresemme,Beauty,Haircare,297.05,195.55,34.17,0.0,0.0,195.55,3,RetailNet,3.8,4.2,9794,In Stock,No,No,Saturday,0,2026-07-11 11:58:40
ITEM000073,Amazon,Acer Laptop Prime 309,Acer,Electronics,Laptop,139480.5,123816.84,11.23,0.0,0.0,123816.84,2,Style Hub Sellers,4.0,4.0,20716,In Stock,Yes,No,Friday,0,2026-07-31 03:09:44
ITEM000074,Amazon,Biba Sarees Trendy 606,Biba,Fashion,Sarees,1047.02,899.91,14.05,0.0,0.0,899.91,5,TrueValue Retail,4.2,3.5,48285,In Stock,No,No,Monday,0,2026-05-25 18:27:23
ITEM000075,Amazon,Wakefit Furniture Everyday 895,Wakefit,Home & Kitchen,Furniture,3774.92,3147.15,16.63,0.0,0.0,3147.15,2,TechZone India,4.4,3.6,50771,In Stock,No,Yes,Saturday,0,2026-03-14 06:00:59
ITEM000076,Amazon,JBL Headphones Plus 690,JBL,Electronics,Headphones,6836.37,5227.77,23.53,0.0,0.0,5227.77,13,PrimeMart Retail,4.1,4.2,6462,Out of Stock,No,No,Sunday,1,2026-07-12 22:47:50
ITEM000077,Flipkart,Forever 21 Dresses Edition 266,Forever 21,Fashion,Dresses,2842.42,1854.96,34.74,0.0,247.09,1607.87,1,RetailNet,4.0,3.9,51862,In Stock,No,Yes,Wednesday,0,2026-03-11 11:42:15
ITEM000078,Flipkart,HarperCollins Fiction Max 33,HarperCollins,Books,Fiction,429.97,286.96,33.26,0.0,0.0,286.96,4,OmniTech Sellers,4.0,3.6,28821,In Stock,No,No,Saturday,0,2026-05-30 08:08:43
ITEM000079,Flipkart,Penguin Fiction Prime 610,Penguin,Books,Fiction,435.51,333.82,23.35,8.37,20.68,304.77,3,Style Hub Sellers,3.9,4.0,51351,In Stock,No,No,Saturday,0,2026-06-27 13:27:58
ITEM000080,Amazon,MSI Laptop Pro 377,MSI,Electronics,Laptop,146288.57,123277.38,15.73,0.0,0.0,123277.38,1,HomeEssentials Store,4.6,3.9,38411,In Stock,Yes,Yes,Sunday,0,2026-04-05 05:04:39
ITEM000081,Flipkart,Titan Watches Signature 176,Titan,Fashion,Watches,4269.2,3294.97,22.82,0.0,0.0,3294.97,1,WS Retail,4.6,4.1,34496,In Stock,No,Yes,Thursday,0,2026-06-11 10:12:42
ITEM000082,Amazon,Sony Television Edition 956,Sony,Electronics,Television,79471.39,42628.45,46.36,0.0,0.0,42628.45,1,TechZone India,4.3,4.4,29812,In Stock,Yes,Yes,Friday,1,2026-06-05 01:20:29
ITEM000083,Ajio,Mysore Silk Sarees Series 665,Mysore Silk,Fashion,Sarees,13889.58,11860.31,14.61,0.0,985.61,10874.7,2,TechZone India,4.4,3.5,24464,In Stock,No,No,Tuesday,0,2026-07-28 05:33:02
ITEM000084,Amazon,Nivea Skincare Everyday 506,Nivea,Beauty,Skincare,1546.59,1113.54,28.0,0.0,0.0,1113.54,4,Ajio Retail,3.6,4.2,5756,In Stock,No,No,Tuesday,0,2026-04-28 12:38:58
ITEM000085,Flipkart,Titan Watches Premium 647,Titan,Fashion,Watches,13567.08,10103.4,25.53,0.0,703.06,9400.34,3,PrimeMart Retail,4.6,3.6,12456,In Stock,No,Yes,Saturday,0,2026-07-18 21:56:27
ITEM000086,Ajio,Lakme Skincare Premium 666,Lakme,Beauty,Skincare,1255.15,908.48,27.62,0.0,0.0,908.48,3,RetailNet,3.8,3.4,45548,In Stock,No,No,Wednesday,0,2026-02-04 03:53:06
ITEM000087,Amazon,Penguin Non-Fiction Edition 876,Penguin,Books,Non-Fiction,243.81,163.99,32.74,0.0,0.0,163.99,3,Cloudtail India,4.1,4.0,52536,In Stock,No,No,Tuesday,1,2026-07-14 05:29:31
ITEM000088,Amazon,Bloomsbury Fiction Edition 641,Bloomsbury,Books,Fiction,203.69,138.35,32.08,0.0,20.4,117.95,1,Urban Trade Co,4.6,4.1,40621,In Stock,No,No,Thursday,0,2026-04-23 21:53:13
ITEM000089,Flipkart,Realme Mobile Everyday 317,Realme,Electronics,Mobile,48736.68,45909.95,5.8,0.0,0.0,45909.95,4,Cloudtail India,4.2,3.8,12706,In Stock,Yes,No,Sunday,0,2026-03-08 17:19:01
ITEM000090,Flipkart,Sony Camera Lite 431,Sony,Electronics,Camera,95452.36,73374.23,23.13,0.0,0.0,73374.23,1,RetailNet,4.8,4.3,36073,In Stock,No,Yes,Monday,0,2026-05-25 22:12:44
ITEM000091,Flipkart,Mamaearth Skincare Neo 471,Mamaearth,Beauty,Skincare,933.7,844.25,9.58,11.9,0.0,832.35,3,TechZone India,3.7,4.2,27078,In Stock,No,No,Sunday,0,2026-02-01 11:36:16
ITEM000092,Amazon,Wakefit Furniture Everyday 895,Wakefit,Home & Kitchen,Furniture,55199.84,37442.05,32.17,0.0,0.0,37442.05,4,Style Hub Sellers,5.0,3.6,50614,In Stock,No,Yes,Sunday,0,2026-02-01 17:55:53
ITEM000093,Ajio,Soch Sarees Prime 88,Soch,Fashion,Sarees,7769.14,5495.89,29.26,0.0,144.74,5351.15,3,TrueValue Retail,4.8,3.6,45092,In Stock,No,No,Monday,0,2026-05-04 12:29:31
ITEM000094,Flipkart,Woodland Shoes Trendy 783,Woodland,Fashion,Shoes,3429.84,3014.83,12.1,0.0,0.0,3014.83,4,Cloudtail India,4.5,3.3,30388,In Stock,No,Yes,Tuesday,0,2026-06-23 03:10:15
ITEM000095,Flipkart,Nilkamal Furniture Everyday 62,Nilkamal,Home & Kitchen,Furniture,27999.43,18866.02,32.62,0.0,0.0,18866.02,1,Appario Retail,4.5,3.7,19247,In Stock,No,No,Sunday,0,2026-05-31 23:30:47
ITEM000096,Flipkart,Only Dresses Neo 375,Only,Fashion,Dresses,5098.51,3463.42,32.07,157.17,0.0,3306.25,4,HomeEssentials Store,4.5,4.7,47904,In Stock,No,No,Friday,0,2026-04-24 13:34:55
ITEM000097,Flipkart,W Kurtas Edition 616,W,Fashion,Kurtas,3811.97,3471.18,8.94,0.0,0.0,3471.18,2,OmniTech Sellers,4.2,4.0,13494,In Stock,No,Yes,Thursday,0,2026-07-09 03:06:23
ITEM000098,Flipkart,Levis Jeans Edition 264,Levis,Fashion,Jeans,2294.51,1629.33,28.99,0.0,122.11,1507.22,1,Ajio Retail,3.4,4.4,10343,In Stock,No,Yes,Thursday,0,2026-06-04 09:19:30
ITEM000099,Amazon,Samsung Tablet Pro 487,Samsung,Electronics,Tablet,35592.97,18608.0,47.72,713.57,0.0,17894.43,19,Cloudtail India,4.5,4.0,3134,Out of Stock,No,Yes,Saturday,1,2026-05-16 05:47:36
ITEM000100,Ajio,Soch Sarees Premium 780,Soch,Fashion,Sarees,5794.6,4684.93,19.15,0.0,0.0,4684.93,1,Flipkart Wholesale,4.6,4.3,40486,In Stock,No,Yes,Wednesday,0,2026-02-18 23:00:22
ITEM000101,Flipkart,Ikea Furniture Essential 753,Ikea,Home & Kitchen,Furniture,12295.68,11968.61,2.66,0.0,0.0,11968.61,2,TrueValue Retail,4.3,4.2,16860,In Stock,No,Yes,Wednesday,0,2026-06-10 22:56:08
ITEM000102,Ajio,Mamaearth Skincare Essential 87,Mamaearth,Beauty,Skincare,1051.19,895.82,14.78,0.0,0.0,895.82,1,RetailNet,4.9,4.0,20700,In Stock,No,No,Wednesday,0,2026-07-01 18:52:40
ITEM000103,Amazon,Mysore Silk Sarees Series 665,Mysore Silk,Fashion,Sarees,1810.04,1608.4,11.14,0.0,190.12,1418.28,3,HomeEssentials Store,4.7,3.5,24456,In Stock,No,No,Friday,0,2026-04-24 19:00:28
ITEM000104,Amazon,Apple Headphones Everyday 479,Apple,Electronics,Headphones,19006.03,18070.93,4.92,0.0,0.0,18070.93,2,Ajio Retail,5.0,4.2,4680,In Stock,No,Yes,Sunday,0,2026-05-10 00:27:13
ITEM000105,Flipkart,Canon Camera Plus 668,Canon,Electronics,Camera,36628.17,31254.82,14.67,489.39,0.0,30765.43,8,HomeEssentials Store,3.6,4.3,17569,Out of Stock,Yes,No,Thursday,0,2026-07-02 06:39:11
ITEM000106,Amazon,Marshall Speaker Edition 344,Marshall,Electronics,Speaker,15123.46,11313.86,25.19,0.0,1128.33,10185.53,2,WS Retail,4.3,4.1,30405,In Stock,Yes,No,Saturday,0,2026-02-14 03:45:53
ITEM000107,Ajio,Only Dresses 2.0 113,Only,Fashion,Dresses,545.07,483.1,11.37,0.0,0.0,483.1,7,Style Hub Sellers,4.6,4.4,419,In Stock,No,No,Friday,0,2026-02-27 15:59:29
ITEM000108,Flipkart,Samsung Tablet Neo 363,Samsung,Electronics,Tablet,62007.29,42512.2,31.44,0.0,926.68,41585.52,2,TechZone India,4.6,4.8,48997,In Stock,No,Yes,Saturday,0,2026-06-27 10:41:08
ITEM000109,Flipkart,Dell Laptop Premium 605,Dell,Electronics,Laptop,176188.61,148121.76,15.93,0.0,0.0,148121.76,1,TrueValue Retail,4.8,3.6,42474,In Stock,Yes,Yes,Saturday,0,2026-05-09 06:22:06
ITEM000110,Ajio,Ponds Skincare Ultra 245,Ponds,Beauty,Skincare,1026.97,1000.58,2.57,0.0,0.0,1000.58,2,Flipkart Wholesale,4.1,4.4,10279,In Stock,No,No,Friday,0,2026-06-26 15:46:11
ITEM000111,Amazon,JBL Speaker Premium 541,JBL,Electronics,Speaker,4274.82,3440.8,19.51,0.0,0.0,3440.8,4,WS Retail,3.7,4.1,2566,In Stock,No,No,Thursday,0,2026-02-19 04:31:26
ITEM000112,Flipkart,W Kurtas Edition 616,W,Fashion,Kurtas,2535.13,1945.46,23.26,112.53,0.0,1832.93,2,HomeEssentials Store,5.0,4.0,13557,In Stock,No,Yes,Sunday,0,2026-06-28 12:29:55
ITEM000113,Ajio,US Polo T-Shirts Plus 511,US Polo,Fashion,T-Shirts,366.38,250.93,31.51,0.0,12.77,238.16,5,HomeEssentials Store,4.4,4.4,21288,In Stock,No,No,Thursday,0,2026-04-09 00:46:24
ITEM000114,Amazon,Levis Jeans Everyday 270,Levis,Fashion,Jeans,725.96,373.0,48.62,0.0,0.0,373.0,2,Cloudtail India,4.5,4.9,51159,In Stock,No,No,Tuesday,1,2026-07-14 22:34:08
